gene	W8
ENSMUSG00000001829	2662
ENSMUSG00000001833	7983
ENSMUSG00000001844	2234
ENSMUSG00000001847	13296
ENSMUSG00000001855	2410
ENSMUSG00000001864	9736
ENSMUSG00000001865	70
ENSMUSG00000001870	5104
ENSMUSG00000001891	7261
ENSMUSG00000001901	8
ENSMUSG00000001909	2319
ENSMUSG00000001910	5616
ENSMUSG00000001911	7945
ENSMUSG00000001918	11001
ENSMUSG00000001924	15585
ENSMUSG00000001930	2373
ENSMUSG00000001942	2187
ENSMUSG00000001943	226
ENSMUSG00000001946	1588
ENSMUSG00000001948	320
ENSMUSG00000001962	2491
ENSMUSG00000001964	3509
ENSMUSG00000001983	726
ENSMUSG00000001985	187
ENSMUSG00000001986	315
ENSMUSG00000001988	2
ENSMUSG00000001995	2105
ENSMUSG00000001998	909
ENSMUSG00000001999	769
ENSMUSG00000002006	210
ENSMUSG00000002007	221
ENSMUSG00000002010	7070
ENSMUSG00000002012	297
ENSMUSG00000002014	4795
ENSMUSG00000002015	5929
ENSMUSG00000002017	4082
ENSMUSG00000002020	1495
ENSMUSG00000002028	5562
ENSMUSG00000002031	1944
ENSMUSG00000002032	774
ENSMUSG00000002033	304
ENSMUSG00000002043	869
ENSMUSG00000002052	7299
ENSMUSG00000002055	272
ENSMUSG00000002057	276
ENSMUSG00000002058	628
ENSMUSG00000002059	1976
ENSMUSG00000002064	2487
ENSMUSG00000002068	26
ENSMUSG00000002076	18
ENSMUSG00000002083	934
ENSMUSG00000002100	0
ENSMUSG00000002102	6451
ENSMUSG00000002103	3490
ENSMUSG00000002104	108
ENSMUSG00000002105	1954
ENSMUSG00000002107	4225
ENSMUSG00000002108	707
ENSMUSG00000002109	1356
ENSMUSG00000002111	451
ENSMUSG00000002129	2477
ENSMUSG00000002147	6432
ENSMUSG00000002190	3
ENSMUSG00000002204	9649
ENSMUSG00000002205	2277
ENSMUSG00000002210	1270
ENSMUSG00000002221	1824
ENSMUSG00000002222	6260
ENSMUSG00000002227	1286
ENSMUSG00000002228	645
ENSMUSG00000002233	3116
ENSMUSG00000002240	0
ENSMUSG00000002249	2106
ENSMUSG00000002250	2057
ENSMUSG00000002257	309
ENSMUSG00000002265	3742
ENSMUSG00000002266	24
ENSMUSG00000002274	299
ENSMUSG00000002279	1694
ENSMUSG00000002280	1262
ENSMUSG00000002289	697
ENSMUSG00000002297	347
ENSMUSG00000002307	1509
ENSMUSG00000002308	542
ENSMUSG00000002319	1385
ENSMUSG00000002320	3752
ENSMUSG00000002324	3958
ENSMUSG00000002325	2851
ENSMUSG00000002326	960
ENSMUSG00000002329	2368
ENSMUSG00000002332	5417
ENSMUSG00000002341	4
ENSMUSG00000002342	2126
ENSMUSG00000002343	323
ENSMUSG00000002345	999
ENSMUSG00000002346	2145
ENSMUSG00000002365	4700
ENSMUSG00000002372	3075
ENSMUSG00000002379	2357
ENSMUSG00000002384	7
ENSMUSG00000002393	2165
ENSMUSG00000002395	2571
ENSMUSG00000002396	940
ENSMUSG00000002409	1449
ENSMUSG00000002413	4245
ENSMUSG00000002416	1585
ENSMUSG00000002428	1676
ENSMUSG00000002455	4720
ENSMUSG00000002458	626
ENSMUSG00000002459	31
ENSMUSG00000002475	506
ENSMUSG00000002477	1225
ENSMUSG00000002486	1283
ENSMUSG00000002489	4778
ENSMUSG00000002496	5934
ENSMUSG00000002500	1880
ENSMUSG00000002504	3128
ENSMUSG00000002524	5543
ENSMUSG00000002546	9090
ENSMUSG00000002550	3525
ENSMUSG00000002565	19182
ENSMUSG00000002578	847
ENSMUSG00000002580	1870
ENSMUSG00000002588	438
ENSMUSG00000002602	4385
ENSMUSG00000002603	1459
ENSMUSG00000002608	2229
ENSMUSG00000002617	954
ENSMUSG00000002625	8380
ENSMUSG00000002633	1
ENSMUSG00000002635	480
ENSMUSG00000002658	2950
ENSMUSG00000002660	1808
ENSMUSG00000002661	463
ENSMUSG00000002664	0
ENSMUSG00000002668	496
ENSMUSG00000002679	723
ENSMUSG00000002688	411
ENSMUSG00000002699	428
ENSMUSG00000002718	3085
