gene	P8
ENSMUSG00000001829	3331
ENSMUSG00000001833	9055
ENSMUSG00000001844	1870
ENSMUSG00000001847	14526
ENSMUSG00000001855	2653
ENSMUSG00000001864	11981
ENSMUSG00000001865	278
ENSMUSG00000001870	3774
ENSMUSG00000001891	15730
ENSMUSG00000001901	2
ENSMUSG00000001909	3056
ENSMUSG00000001910	6364
ENSMUSG00000001911	9651
ENSMUSG00000001918	9497
ENSMUSG00000001924	16119
ENSMUSG00000001930	3663
ENSMUSG00000001942	1858
ENSMUSG00000001943	166
ENSMUSG00000001946	1946
ENSMUSG00000001948	265
ENSMUSG00000001962	2194
ENSMUSG00000001964	3658
ENSMUSG00000001983	900
ENSMUSG00000001985	27
ENSMUSG00000001986	310
ENSMUSG00000001988	0
ENSMUSG00000001995	1138
ENSMUSG00000001998	814
ENSMUSG00000001999	1004
ENSMUSG00000002006	247
ENSMUSG00000002007	506
ENSMUSG00000002010	7478
ENSMUSG00000002012	368
ENSMUSG00000002014	8001
ENSMUSG00000002015	5326
ENSMUSG00000002017	4676
ENSMUSG00000002020	3013
ENSMUSG00000002028	5403
ENSMUSG00000002031	1996
ENSMUSG00000002032	459
ENSMUSG00000002033	288
ENSMUSG00000002043	1393
ENSMUSG00000002052	6928
ENSMUSG00000002055	510
ENSMUSG00000002057	266
ENSMUSG00000002058	976
ENSMUSG00000002059	1822
ENSMUSG00000002064	2966
ENSMUSG00000002068	54
ENSMUSG00000002076	17
ENSMUSG00000002083	616
ENSMUSG00000002100	14
ENSMUSG00000002102	8651
ENSMUSG00000002103	3554
ENSMUSG00000002104	424
ENSMUSG00000002105	2389
ENSMUSG00000002107	4901
ENSMUSG00000002108	936
ENSMUSG00000002109	1101
ENSMUSG00000002111	1288
ENSMUSG00000002129	2668
ENSMUSG00000002147	6465
ENSMUSG00000002190	4
ENSMUSG00000002204	29672
ENSMUSG00000002205	2360
ENSMUSG00000002210	1440
ENSMUSG00000002221	1595
ENSMUSG00000002222	7626
ENSMUSG00000002227	1565
ENSMUSG00000002228	978
ENSMUSG00000002233	4804
ENSMUSG00000002240	0
ENSMUSG00000002249	2139
ENSMUSG00000002250	1968
ENSMUSG00000002257	568
ENSMUSG00000002265	3408
ENSMUSG00000002266	130
ENSMUSG00000002274	809
