"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000024517_Grp",1344.6995398545,-2.93072775665438,0.327226335589275,-8.95627105127915,3.35843773578535e-19,1.51325837410259e-16
"ENSMUSG00000031779_Ccl22",160.761140838224,-3.47483842042711,0.388007043018582,-8.95560656165897,3.37872860307172e-19,1.51325837410259e-16
"ENSMUSG00000044594_Serpinb3a",490.111530420492,-27.0250767156456,3.02623573675158,-8.93026157461708,4.25002687180344e-19,1.85817246302206e-16
"ENSMUSG00000079293_Clec7a",427.65682950716,-2.508287243701,0.281157061001112,-8.92130268672527,4.60835218396958e-19,1.96798072451706e-16
"ENSMUSG00000096793_Gm3002",45.0710009328294,-5.76670408948108,0.650492766348635,-8.86513177056666,7.64136467661043e-19,3.18905408083176e-16
"ENSMUSG00000047250_Ptgs1",598.313774165187,-1.87805356476674,0.212667000025847,-8.83095903237685,1.0378199826175e-18,4.23499740906779e-16
"ENSMUSG00000013611_Snx31",241.992621369486,3.11537676155099,0.355054034362074,8.77437364469999,1.71857719342146e-18,6.71451766016985e-16
"ENSMUSG00000039070_Cpa4",308.137354230876,-2.40072351786128,0.273543210662661,-8.77639591948014,1.68796840281032e-18,6.71451766016985e-16
"ENSMUSG00000007891_Ctsd",28989.2829280737,-0.999283983070032,0.114494526141382,-8.72778827728478,2.59701243797952e-18,9.9351957080454e-16
"ENSMUSG00000028755_Cda",91.0981481104588,-2.82978518372363,0.325220083039169,-8.70113910948979,3.28569196658654e-18,1.23132982821283e-15
"ENSMUSG00000026343_Gpr39",35.4260909190199,-4.08530273941355,0.470069423237131,-8.69084977125321,3.59738475530678e-18,1.32117552523397e-15
"ENSMUSG00000112023_Lilr4b",521.277244501514,-2.17738483061576,0.251322300718825,-8.66371517524734,4.56633419329534e-18,1.64414891748004e-15
"ENSMUSG00000029188_Slc34a2",593.527708768261,-3.91232190412788,0.454297451518408,-8.6118068482481,7.19179430831745e-18,2.53967151699295e-15
"ENSMUSG00000058427_Cxcl2",30.8190566267729,-4.57609159607027,0.535448781936952,-8.5462732392752,1.27126842567251e-17,4.4045853020046e-15
"ENSMUSG00000024665_Fads2",715.822193607844,1.38212618749616,0.162129094078076,8.52484987568352,1.53008134346815e-17,5.20312661298253e-15
"ENSMUSG00000063652_Slc22a21",211.342174270061,-2.14429634829257,0.255387204956675,-8.39625598571524,4.60940172434489e-17,1.53895352480264e-14
"ENSMUSG00000020467_Efemp1",1734.86748295799,-1.20400344017167,0.145309297227038,-8.28579769600342,1.17320060625589e-16,3.84705048797801e-14
"ENSMUSG00000027350_Chgb",215.028217846772,3.30487897482954,0.399413783453771,8.27432380087617,1.29186652800465e-16,4.16185000942973e-14
"ENSMUSG00000026070_Il18r1",1674.83933108759,-1.33122366940894,0.161206980739278,-8.25785374370327,1.48315128917965e-16,4.69570812469066e-14
"ENSMUSG00000035407_Kank4",407.596339762267,-1.77773452463487,0.217192264931808,-8.1850729131308,2.72138832827828e-16,8.46997523257186e-14
"ENSMUSG00000023236_Scg5",6360.17825268715,-1.91520927182505,0.235631735893922,-8.12797675389213,4.36514900355608e-16,1.33595385253834e-13
"ENSMUSG00000033578_Tmem35a",869.528678526644,-2.33295633485597,0.287159720243565,-8.12424643984606,4.50150313702669e-16,1.35510003451182e-13
"ENSMUSG00000027356_Fermt1",170.24111639385,-2.21579153785223,0.273364889670889,-8.1056186129824,5.24778186645547e-16,1.5542744905439e-13
"ENSMUSG00000025934_Gsta3",1584.40323095216,-1.41320318420948,0.174553093353913,-8.09612225745064,5.67388019685992e-16,1.65380098499903e-13
"ENSMUSG00000022438_Parvb",933.840924176301,1.14149399838177,0.141786654886644,8.0507858746959,8.22640847007891e-16,2.36033654275092e-13
"ENSMUSG00000042265_Trem1",43.4322653843673,-4.04098397670851,0.505416831775583,-7.99534903202988,1.29207309360486e-15,3.65020587967169e-13
"ENSMUSG00000028148_Them5",264.663037757789,-6.11456888217141,0.765494036229722,-7.98774202381435,1.37432664811078e-15,3.82375155140275e-13
"ENSMUSG00000093985_Gm10406",31.975892888128,-4.27716994550165,0.537838693425357,-7.95251438356256,1.82763604710543e-15,5.00908667656673e-13
"ENSMUSG00000044496_2510039O18Rik",1339.53101040859,-0.813674698525306,0.102596874216001,-7.93079423464933,2.17748747880134e-15,5.88017684900428e-13
"ENSMUSG00000062593_Gm49339",246.62732786352,-2.65350320366951,0.334850188439925,-7.92444888871719,2.29160383597639e-15,6.09865525217892e-13
"ENSMUSG00000030144_Clec4d",50.8192363510272,-4.40687482732463,0.556291518572705,-7.921880309503,2.33945456260658e-15,6.13705773330637e-13
"ENSMUSG00000022656_Nectin3",272.96499981464,-2.00577614179256,0.255307486567658,-7.85631541306571,3.95598145409064e-15,1.0231505273446e-12
"ENSMUSG00000075316_Scn9a",58.2439194461451,4.54379826597053,0.57998869856536,7.83428759424091,4.715084227328e-15,1.20254293981145e-12
"ENSMUSG00000020904_Cfap52",216.19786586075,1.83412296373484,0.234676097213261,7.8155508188296,5.47231934090312e-15,1.37655068571238e-12
"ENSMUSG00000018927_Ccl6",1476.22697350176,-2.41077925788822,0.308782032922761,-7.80738190972158,5.83881398677614e-15,1.44889380052933e-12
"ENSMUSG00000055044_Pdlim1",1499.162573492,-1.41563135222154,0.181611626332852,-7.79482779162504,6.4496376944777e-15,1.57912929311592e-12
"ENSMUSG00000050359_Sprr1a",470.620367288773,-7.57755177891891,0.973490317977004,-7.78390050623792,7.03220685059079e-15,1.69911071575525e-12
