Gene symbol	P2	P4	P6	P8	P9	W5	W6	W7	W8	W9
PM20D2	3.334887392	0	1.91207232	1.309170443	0	1.556600383	0	0	2.07078269	1.06373267
PMAIP1	1170.902198	994.9216469	1432.626134	762.9911236	879.5176492	1326.567744	1218.486655	989.5022856	1108.488728	1055.786409
PMEL	998.9612961	1139.632426	1101.07616	1147.884381	1170.050709	1138.417838	1066.68945	1008.391037	1096.469631	1180.345877
PMEPA1	1886.239786	1474.112659	1615.919202	1448.950604	1041.371092	1231.674756	1411.736861	1845.826124	1376.883957	1459.302346
PMF1	1410.987278	1635.460409	1816.788472	1513.772205	1637.723946	1901.187593	1656.39823	1372.662893	1687.492	1641.270655
PML	400.5916109	55.53976485	88.7694487	594.8076476	259.0252973	137.0437689	196.6305707	118.6631692	125.4064621	91.05128355
PMM1	2254.944177	1915.68126	2394.977694	2005.074519	1624.371202	1566.684849	1766.489407	1528.80353	1894.342546	1916.06355
PMM2	261.7359057	386.8768417	300.674422	498.3446045	605.4053071	486.4988063	444.8994692	250.3322368	302.0643975	462.3283304
PMP2	0.53227751	1.623327636	0.50399294	1.535480865	1.050941402	0	0	0	0	2.302433257
PMP22	279.5350366	292.6961867	246.1161695	232.587866	286.5029435	185.9467263	190.4421313	277.4643752	252.5006035	210.5217576
PMPCA	502.3155213	526.9184432	283.0217182	345.7528079	421.262492	690.5029718	593.8757729	510.7556072	761.6957253	634.2144231
PMPCB	112.5521452	101.61522	149.6331622	96.69284021	80.72237239	113.8132581	105.8774808	312.0415643	162.4468026	110.0014892
PMS1	272.3628996	349.5441641	214.844139	324.4818517	285.3772991	433.0157702	338.8124817	393.6706627	315.5033302	351.9892276
PMS2	237.3803085	227.5991777	204.5945347	181.2271078	170.4872208	192.8021858	221.6208824	101.4345062	190.9430703	167.8017665
PMVK	26.7943427	52.76641184	27.80305677	97.61497902	69.58775256	141.8688908	62.75811242	22.54855122	34.25762939	75.67468866
PNCK	492.9762408	528.8419917	697.9895194	612.255585	495.0427868	483.4630935	574.5090287	828.7752446	587.8835322	605.6097653
PNISR	167.3701762	161.2008354	190.1377565	123.3338603	150.4554841	107.9410936	145.9144923	166.8270032	125.6711387	117.2012367
PNKD	71.5011147	67.01860504	68.75799134	68.51234112	72.84234838	54.77975545	63.1680867	24.37800919	98.06918854	86.25973112
PNKP	1315.280221	1674.251767	1741.483138	1578.469042	1786.737115	1429.917443	1587.294507	1555.570055	1750.210619	1601.482949
PNLDC1	0	2.056068511	3.183239286	1.311974083	0	0	0.707748223	0	1.382089471	0
PNLIPRP1	36.38190756	79.53850744	116.2109841	96.73137644	120.5441609	23.60295275	31.78507738	0	24.12026757	25.4200838
PNLIPRP2	2.113161444	6.283243434	0.500004725	3.04501121	1.56365702	16.6602905	4.856137958	0	0.956091583	0.414302194
PNMA1	917.6203547	889.3572253	872.4096673	762.0832403	691.0985804	868.0463148	842.704402	642.1196832	1396.074083	846.0896506
PNMA2	14.35026002	7.671397997	15.59571253	14.59726795	3.602171424	6.784547282	12.81653483	0	3.182747828	10.13248668
PNMA3	68.22338594	44.5309096	41.39223387	78.46304684	62.10180081	50.12548905	56.63786813	280.670509	20.34973461	35.73720844
PNMA5	79.85374414	167.9142864	145.0263245	125.0050475	153.4033472	166.8795121	146.944319	320.3140938	124.5935079	131.5764421
PNMA8A	877.2147705	780.9179205	933.7533093	863.6994868	648.2920209	705.492288	843.090713	618.179793	862.6769442	645.3332532
PNMA8B	4.029990995	0	0.638180417	0.650974187	3.331755778	2.352326075	0	0	0.689476784	0.530270765
PNMA8C	519.7088415	553.6873365	778.0863209	1020.0846	826.4301111	96.54022758	167.6728499	31.38373238	168.7322275	114.2420479
PNMT	338.806811	625.3373264	297.5384858	513.6325359	712.6403185	1249.830033	445.853999	632.156795	343.21007	770.6264799
PNN	744.3403198	609.4167858	666.6893175	574.6371857	577.842013	608.1774812	698.187837	566.1414757	732.3967135	638.8749112
PNO1	1612.709226	1275.560147	1439.236703	1143.019235	1137.384863	1070.39634	1048.520346	1033.31346	1309.217344	715.9646382
PNOC	161.898703	277.0130424	144.3368436	228.2689818	334.2532111	304.1063251	271.0299475	39.56419237	166.0532849	307.5280016
PNP	1606.307461	1449.377324	1358.230405	1575.242634	1727.659191	1577.748895	1583.257008	973.4177014	1529.504983	1523.264743
PNPLA1	1086.194098	883.8126222	1385.042578	990.7581495	879.3646239	1017.536995	1122.015622	1063.118608	838.4993272	899.1051756
PNPLA2	363.2925478	417.3692695	259.7685349	506.6458149	401.5914703	497.2702004	461.8282217	347.0656155	281.8312802	324.0922393
PNPLA3	376.5003317	442.865443	297.8464014	297.010861	210.3691105	255.8413674	343.1778991	203.9183744	352.745593	335.5601833
PNPLA5	95.83193006	125.5851184	139.2130761	108.6024862	86.18841831	178.4982803	158.0927826	306.4321932	151.0446566	174.6772713
PNPLA6	1179.554553	1262.268046	2160.310125	1357.26194	1035.799859	1059.912386	1286.580536	1253.304744	1426.658085	1082.780651
PNPLA7	303.7245967	399.6914356	350.2641855	302.8724505	211.9839633	280.1291213	334.306227	171.7449291	450.2216602	294.9876624
PNPLA8	309.0120739	537.9292174	357.0478592	497.1389975	635.7944094	597.7786904	470.3209656	471.0285716	303.2170274	344.5590823
PNPO	188.7338724	218.4157762	168.850455	208.7568648	184.6342793	156.8624562	188.6115736	124.9041259	229.1594445	179.8042381
PNPT1	71.43149521	20.19643594	15.01129182	211.0454822	101.4803119	142.6331881	30.6897332	0	19.66730611	35.65272847
PNRC1	1088.522934	1059.485593	1713.097612	1251.914364	1148.077176	924.9261253	1070.740854	1138.290335	1061.576734	927.978812
PNRC2	0.516419214	1.960881103	1.825917936	1.857150686	1.365054534	8.929263682	17.64953354	0	2.374238984	4.54414994
POC1A	85.55606416	70.17469764	49.42574815	86.22028365	68.44751758	65.74412248	63.95886666	94.79161381	73.16519443	41.7453723
POC1B	5.272480173	12.04323087	14.90846868	3.846379075	16.72187537	18.37106123	13.894075	0	15.25159868	25.68988978
POC1B-GALNT4	73.88891759	34.65908867	33.92777677	121.0079242	71.73387672	175.6017065	35.0629987	126.5876861	22.26367766	24.14291315
POC5	147.2162515	173.2418042	147.4590501	98.03529291	144.58356	309.3105168	227.1696421	0	100.9287797	227.2197011
PODN	190.7316763	189.2170715	169.8345506	203.7299996	215.0623852	265.2408279	237.4787507	197.9622761	242.5246188	257.8144566
PODNL1	74.66988766	100.7945181	102.7746259	137.8186041	125.2401195	36.13006119	42.94378442	39.46270737	56.52375077	51.9329332
PODXL	649.3668982	948.2886351	799.6898587	567.1040378	677.7497674	1249.620009	1264.904853	950.1111244	1031.355241	1067.850978
PODXL2	829.9096058	881.413121	662.4978465	934.5246672	931.3766222	908.0616965	906.9451837	636.912052	741.9634637	888.4448642
POF1B	3.181340565	19.9910083	5.585772265	6.303968261	6.47126941	5.357807024	13.41073066	0	7.366103217	12.34722002
POFUT1	387.3947057	421.3210505	440.5051272	399.6464373	498.6904357	271.2047002	368.4254343	1372.543608	293.3313164	302.2162271
POFUT2	35.72088906	86.11426595	49.19077439	112.7370873	77.96451332	145.6009305	141.8076712	79.066874	50.60376249	75.59680404
POGK	0.561714547	4.428912963	0.983426512	6.022143659	3.338031403	7.119102347	5.785398697	0	16.21400905	14.16226835
POGLUT1	1985.033728	1534.441462	1666.596064	1529.815141	1274.948057	1591.231152	1709.265692	1489.765996	1661.802245	1524.699765
