,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000050737_Ptges,992.948737,-0.868848266,0.241243346,-3.601542927,0.000316334,0.005418698
ENSMUSG00000025509_Pnpla2,4557.064898,-0.70587475,0.196225133,-3.59726983,0.000321575,0.005503335
ENSMUSG00000050953_Gja1,1598.106957,0.965055154,0.268680953,3.59182571,0.000328369,0.005593551
ENSMUSG00000055675_Kbtbd11,313.6006644,-0.746201761,0.207910464,-3.589053421,0.000331881,0.005632466
ENSMUSG00000034573_Ptpn13,1354.191736,0.848464972,0.236607393,3.585961372,0.000335839,0.005694373
ENSMUSG00000019997_Ccn2,8697.150532,1.185433702,0.330852261,3.582969922,0.00033971,0.005749392
ENSMUSG00000082307_Gm13418,150.493877,-1.011953379,0.282629684,-3.580492198,0.000342948,0.005788186
ENSMUSG00000055053_Nfic,3099.838388,-0.800164429,0.223528627,-3.579695543,0.000343995,0.005800529
ENSMUSG00000022861_Dgkg,747.6811325,0.9463949,0.264417148,3.579173695,0.000344682,0.00580679
ENSMUSG00000020689_Itgb3,133.2627655,0.905535855,0.25305973,3.578348293,0.000345772,0.005819817
ENSMUSG00000019866_Crybg1,829.6056511,0.966873093,0.270385547,3.575905241,0.000349018,0.005858335
ENSMUSG00000028152_Tspan5,410.324729,0.852190236,0.238412525,3.574435681,0.000350984,0.005885955
ENSMUSG00000007892_Rplp1,5157.696599,0.59852883,0.16763206,3.570491397,0.000356312,0.005964412
ENSMUSG00000032092_Mpzl2,1829.104938,0.592018771,0.165957774,3.567285564,0.000360698,0.006026846
ENSMUSG00000027315_Spint1,2051.352715,0.583010459,0.163596164,3.563717168,0.00036564,0.006094287
ENSMUSG00000054280_Prr14l,528.5524531,1.299845432,0.364775266,3.563414393,0.000366062,0.006094287
ENSMUSG00000100131_Gm28439,386.7042901,-1.409421167,0.395501506,-3.56363034,0.000365761,0.006094287
ENSMUSG00000006517_Mvd,239.5387127,0.740353675,0.207852283,3.561922273,0.000368149,0.006117943
ENSMUSG00000029304_Spp1,4178.546733,2.282494344,0.640957729,3.561068445,0.000369349,0.006132325
ENSMUSG00000090733_Rps27,2934.070946,0.585574591,0.164517216,3.559351449,0.000371772,0.006161412
ENSMUSG00000023328_Ache,494.9796265,-0.969132303,0.272354837,-3.558344376,0.0003732,0.006173935
ENSMUSG00000032387_Rbpms2,143.2254612,-0.932439279,0.262039809,-3.558387879,0.000373138,0.006173935
ENSMUSG00000026450_Chit1,128.2954455,5.068606701,1.425812974,3.55488889,0.000378139,0.006250012
ENSMUSG00000001419_Mef2d,2701.489103,-0.629697929,0.177292344,-3.551749137,0.00038268,0.006313696
ENSMUSG00000033880_Lgals3bp,1574.345688,0.580714634,0.163540838,3.550884553,0.000383939,0.006321415
ENSMUSG00000041737_Tmem45b,403.0887009,-1.379294173,0.388418739,-3.551049512,0.000383698,0.006321415
ENSMUSG00000031207_Msn,5330.158079,0.592978745,0.167063578,3.549419636,0.000386081,0.006347011
ENSMUSG00000043629_1700019D03Rik,199.4063319,-0.962185487,0.271394734,-3.545335873,0.000392113,0.006434649
ENSMUSG00000074825_Itpripl1,183.2866039,0.796816321,0.224800742,3.544544892,0.000393292,0.006447587
ENSMUSG00000054046_Klk13,149.4465139,4.649426297,1.314043203,3.538259843,0.000402773,0.006571077
ENSMUSG00000108878_Gm49493,165.9662863,1.204346082,0.340419925,3.537824888,0.000403438,0.00657349
ENSMUSG00000002032_Tmem25,255.9855492,-1.110140208,0.313818623,-3.537521757,0.000403901,0.006575206
ENSMUSG00000039208_Metrnl,209.6625198,0.915878318,0.258998111,3.536235516,0.000405873,0.006595611
ENSMUSG00000036985_Zdhhc9,822.5197444,0.612181467,0.173370188,3.531065362,0.000413889,0.006702162
ENSMUSG00000059230_Defb4,229.9695555,10.68031994,3.024892962,3.530809213,0.00041429,0.006702745
ENSMUSG00000052688_Rab7b,259.2256555,0.899703787,0.255129513,3.526459082,0.000421156,0.00680184
ENSMUSG00000117819_Gm50253,259.869393,-0.727424007,0.206453669,-3.52342494,0.000426008,0.006868113
ENSMUSG00000026715_Serpinc1,195.5206894,-0.700365226,0.199108194,-3.517510809,0.000435615,0.006986193
ENSMUSG00000019823_Mical1,498.978845,1.052830186,0.299351165,3.517040552,0.000436387,0.006986379
ENSMUSG00000019838_Slc16a10,357.0432295,-0.832031661,0.236568738,-3.51708205,0.000436319,0.006986379
ENSMUSG00000054435_Gimap4,329.2990115,0.598506505,0.170194228,3.516608717,0.000437098,0.006991658
ENSMUSG00000021423_Ly86,289.5074823,0.907362389,0.258090129,3.515680321,0.000438629,0.00700861
ENSMUSG00000006411_Nectin4,563.3567473,0.780220018,0.222106322,3.512822189,0.000443374,0.007067429
ENSMUSG00000008398_Elk3,856.3538066,0.611544015,0.174358318,3.507397995,0.000452512,0.007191316
ENSMUSG00000024331_Dsc2,714.457359,0.992530944,0.283078323,3.506206109,0.000454543,0.007201704
ENSMUSG00000040152_Thbs1,7184.448342,1.088129834,0.310433408,3.505195659,0.000456272,0.007222862
ENSMUSG00000033207_Mamdc2,220.6706504,1.396040783,0.398315889,3.504858387,0.00045685,0.007225789
ENSMUSG00000055782_Abcd2,697.1616414,-1.321255788,0.377367519,-3.501244068,0.000463092,0.007311909
ENSMUSG00000044258_Ctla2a,200.8991557,0.686918912,0.196230192,3.500577087,0.000464252,0.007323933
ENSMUSG00000021838_Samd4,812.6647203,-1.000213276,0.285985937,-3.497421197,0.000469779,0.00739838
ENSMUSG00000055737_Ghr,1387.565119,-0.852615979,0.243887439,-3.495940515,0.000472394,0.007426859
ENSMUSG00000037679_Inf2,1261.120163,0.963517092,0.275701983,3.494777523,0.000474457,0.007452913
ENSMUSG00000022899_Slc15a2,618.3697478,1.20102908,0.34389795,3.492399644,0.000478701,0.007492618
ENSMUSG00000037573_Tob1,1686.28591,-0.747245132,0.214321173,-3.486567007,0.000489263,0.007633248
ENSMUSG00000058715_Fcer1g,350.4463262,0.887738385,0.254693153,3.485521199,0.000491179,0.007649126
ENSMUSG00000078234_Klhdc7a,920.3305114,-0.619693916,0.177844908,-3.484462509,0.000493127,0.007660984
ENSMUSG00000048120_Entpd1,685.0720622,0.608623801,0.174758739,3.482651596,0.000496474,0.007693462
ENSMUSG00000030431_Tmem238,305.6593625,0.643094677,0.184731779,3.481234684,0.000499108,0.007727757
ENSMUSG00000027377_Mall,486.5963045,0.77815973,0.223559356,3.480774602,0.000499966,0.00772801
ENSMUSG00000036067_Slc2a6,159.1048624,-0.812145499,0.233436021,-3.479092449,0.000503115,0.007770143
ENSMUSG00000023886_Smoc2,5757.525538,-0.763048188,0.219413009,-3.477679798,0.000505774,0.007795128
ENSMUSG00000079419_Ms4a6c,183.4115589,1.01497968,0.291862196,3.477598991,0.000505926,0.007795128
ENSMUSG00000006154_Eps8l1,699.3716494,0.764461418,0.219860242,3.47703346,0.000506995,0.007803806
ENSMUSG00000040181_Fmo1,810.5463589,-0.809156998,0.232745274,-3.476577572,0.000507857,0.007805907
ENSMUSG00000051675_Trim32,828.1596309,0.76621126,0.220396544,3.476512146,0.000507981,0.007805907
ENSMUSG00000103144_Pcdhga1,121.9001736,-1.094717189,0.314977784,-3.475537787,0.00050983,0.007827769
ENSMUSG00000002265_Peg3,1145.220848,-0.779527222,0.224437544,-3.473247865,0.0005142,0.00788827
ENSMUSG00000071637_Cebpd,521.1516305,1.119991959,0.323296785,3.464284241,0.000531644,0.008135449
ENSMUSG00000038156_Spon1,3180.005469,1.174575269,0.339099033,3.463811906,0.000532579,0.008136226
ENSMUSG00000022146_Osmr,554.1800272,0.837753963,0.242314278,3.457303336,0.00054561,0.008314558
ENSMUSG00000030077_Chl1,142.5965161,2.265837755,0.655496812,3.456672428,0.000546889,0.008327136
ENSMUSG00000055541_Lair1,171.8650256,0.986009528,0.285376536,3.455117724,0.000550053,0.008368364
ENSMUSG00000056069_Otulinl,168.0397657,1.077518842,0.31218606,3.451527726,0.000557422,0.008466459
ENSMUSG00000019102_Aldh3a1,1304.018229,4.864182009,1.409448126,3.451125246,0.000558254,0.008472088
ENSMUSG00000020737_Jpt1,1287.477397,0.603824606,0.175141627,3.447636161,0.000565515,0.008566681
ENSMUSG00000021306_Gpr137b,1477.178537,0.898480174,0.260633971,3.447287283,0.000566246,0.008566681
ENSMUSG00000025777_Gdap1,140.6920519,-1.709181978,0.496033213,-3.445700679,0.000569581,0.008601327
ENSMUSG00000027134_Lpcat4,151.9817123,1.021426217,0.296505548,3.444880619,0.000571312,0.008620375
ENSMUSG00000034684_Sema3f,1174.749367,0.760990189,0.221255066,3.439424929,0.000582951,0.008781573
ENSMUSG00000070427_Il18bp,132.4463468,0.829299244,0.241238764,3.437669923,0.000586742,0.008824203
ENSMUSG00000002699_Lcp2,146.0092336,0.816449899,0.237669332,3.43523454,0.000592041,0.008896606
ENSMUSG00000005373_Mlxipl,824.315709,-1.402312209,0.408522525,-3.432643547,0.000597727,0.008974708
ENSMUSG00000039257_Vstm2b,132.973944,-1.535307387,0.447491808,-3.430917302,0.000601544,0.009024634
ENSMUSG00000041440_Gk5,248.2131979,1.123569906,0.327698452,3.428670168,0.000606546,0.009084835
ENSMUSG00000026922_Agpat2,1647.618833,-0.847098846,0.247132333,-3.427713544,0.000608687,0.009104225
ENSMUSG00000031101_Sash3,118.3698982,0.837606745,0.244367721,3.427648883,0.000608832,0.009104225
ENSMUSG00000039264_Gimap3,116.9328111,0.856592266,0.249967441,3.426815355,0.000610704,0.009124785
ENSMUSG00000074433_Lce3e,182.3011747,10.34525324,3.024856836,3.420080287,0.000626027,0.009271003
ENSMUSG00000030319_Cand2,880.5683068,-1.066068066,0.311730062,-3.419843631,0.000626571,0.009271338
ENSMUSG00000052534_Pbx1,2004.622568,0.608709252,0.178220811,3.415477954,0.000636702,0.009413652
ENSMUSG00000054708_Ankrd24,832.6834305,-0.611076211,0.178967294,-3.41445746,0.000639092,0.009433795
ENSMUSG00000024998_Plce1,445.1313701,0.945131068,0.276855121,3.413811043,0.00064061,0.009441027
ENSMUSG00000041991_Hrnr,179.5812827,10.32642021,3.024751642,3.413972926,0.000640229,0.009441027
ENSMUSG00000036814_Slc6a20a,143.0015235,-1.707760449,0.500680089,-3.410881493,0.000647532,0.009520124
ENSMUSG00000037946_Fgd3,161.6595317,0.764380283,0.22419621,3.409425532,0.000650998,0.009563428
ENSMUSG00000017639_Rab11fip4,905.5276323,-0.79644858,0.23379114,-3.406667079,0.000657613,0.009645164
ENSMUSG00000038007_Acer2,363.2754829,0.833135716,0.244639152,3.405569832,0.000660261,0.009669088
ENSMUSG00000073433_Arhgdig,308.9388347,0.597295511,0.175390178,3.405524282,0.000660371,0.009669088
