,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,ensembl_id
ENSMUSG00000041653_Pnpla3,208.9208402,-1.599778084,0.332862737,-4.806119482,1.54E-06,5.91E-05,,ENSMUSG00000041653
ENSMUSG00000006362_Cbfa2t3,800.6732964,-1.006136612,0.210432748,-4.781273928,1.74E-06,6.55E-05,,ENSMUSG00000006362
ENSMUSG00000033419_Snap91,140.3664509,-2.087891377,0.438151146,-4.765230894,1.89E-06,7.01E-05,,ENSMUSG00000033419
ENSMUSG00000030029_Lrig1,1417.246584,-0.666087586,0.140169947,-4.75199997,2.01E-06,7.44E-05,,ENSMUSG00000030029
ENSMUSG00000034656_Cacna1a,958.2456763,-1.03086033,0.218197642,-4.724433869,2.31E-06,8.39E-05,,ENSMUSG00000034656
ENSMUSG00000037071_Scd1,41338.08874,-1.476709475,0.313341506,-4.712779661,2.44E-06,8.85E-05,,ENSMUSG00000037071
ENSMUSG00000042064_Myo3b,426.0473082,-1.084247462,0.233576527,-4.641936747,3.45E-06,0.000119814,,ENSMUSG00000042064
ENSMUSG00000056486_Chn1,291.8852311,-1.170435675,0.257411963,-4.546935824,5.44E-06,0.00017913,,ENSMUSG00000056486
ENSMUSG00000014164_Klhl3,154.4643924,-1.197047244,0.263502596,-4.542829036,5.55E-06,0.000182004,,ENSMUSG00000014164
ENSMUSG00000002997_Prkar2b,969.585941,-1.26556565,0.279063996,-4.535037367,5.76E-06,0.000187515,,ENSMUSG00000002997
ENSMUSG00000034258_Flvcr2,159.4979901,-1.082780616,0.239417192,-4.52256835,6.11E-06,0.000197164,,ENSMUSG00000034258
ENSMUSG00000025092_Hspa12a,282.9563688,-0.809398559,0.17960167,-4.506631577,6.59E-06,0.000210344,,ENSMUSG00000025092
ENSMUSG00000020774_Aspa,127.2324761,-1.344574179,0.298775066,-4.500289118,6.79E-06,0.000214903,,ENSMUSG00000020774
ENSMUSG00000026062_Slc9a2,327.1408285,-1.342331368,0.299317222,-4.484644616,7.30E-06,0.000229127,,ENSMUSG00000026062
ENSMUSG00000038375_Trp53inp2,5845.370455,-0.728042502,0.162363153,-4.484037731,7.32E-06,0.000229127,,ENSMUSG00000038375
ENSMUSG00000026840_Lamc3,141.5300327,-1.850929259,0.416032493,-4.449001682,8.63E-06,0.000263432,,ENSMUSG00000026840
ENSMUSG00000032311_Nrg4,111.1071354,-1.183173709,0.267643734,-4.420703943,9.84E-06,0.000293748,,ENSMUSG00000032311
ENSMUSG00000049804_Armcx4,326.4167527,-1.355692373,0.306697427,-4.420292613,9.86E-06,0.00029383,,ENSMUSG00000049804
ENSMUSG00000022883_Robo1,139.8133191,-0.985337268,0.223234454,-4.413912136,1.02E-05,0.000301467,,ENSMUSG00000022883
ENSMUSG00000006218_Fam131c,234.16032,-0.969196253,0.219758847,-4.410271832,1.03E-05,0.000305253,,ENSMUSG00000006218
ENSMUSG00000023206_Il15ra,312.5893272,-0.8441535,0.191423035,-4.40988463,1.03E-05,0.000305253,,ENSMUSG00000023206
ENSMUSG00000038485_Socs7,1048.818229,-0.637479541,0.144974617,-4.397180373,1.10E-05,0.000320159,,ENSMUSG00000038485
ENSMUSG00000033768_Nrxn2,153.2167562,-1.521592212,0.347623457,-4.377127548,1.20E-05,0.000347204,,ENSMUSG00000033768
ENSMUSG00000022075_Rhobtb2,484.747421,-0.612773566,0.140247805,-4.369220382,1.25E-05,0.000357765,,ENSMUSG00000022075
ENSMUSG00000026773_Pfkfb3,2241.083559,-0.595762843,0.136464815,-4.365688278,1.27E-05,0.000363029,,ENSMUSG00000026773
ENSMUSG00000064225_Paqr9,159.1043839,-1.715687056,0.394977895,-4.343754615,1.40E-05,0.000396811,,ENSMUSG00000064225
ENSMUSG00000056569_Mpz,334.8587652,-0.842101654,0.194136681,-4.337674098,1.44E-05,0.000406807,,ENSMUSG00000056569
ENSMUSG00000026944_Abca2,2979.828257,-0.701333732,0.161982853,-4.329678834,1.49E-05,0.000420486,,ENSMUSG00000026944
ENSMUSG00000021069_Pygl,2943.830225,-0.626230561,0.145546638,-4.30261095,1.69E-05,0.000467514,,ENSMUSG00000021069
ENSMUSG00000029563_Foxp2,158.5431755,-0.829799476,0.193193503,-4.295172792,1.75E-05,0.00047985,,ENSMUSG00000029563
ENSMUSG00000023959_Clic5,2082.764054,-0.996712624,0.232175821,-4.292921716,1.76E-05,0.000484018,,ENSMUSG00000023959
ENSMUSG00000000530_Acvrl1,1320.874359,-0.729568058,0.170505416,-4.278855613,1.88E-05,0.000509544,,ENSMUSG00000000530
ENSMUSG00000033763_Mtss2,542.0839295,-0.922579193,0.217231986,-4.246976735,2.17E-05,0.000577474,,ENSMUSG00000033763
ENSMUSG00000032456_Nmnat3,575.8382021,-0.822918493,0.194901805,-4.222220998,2.42E-05,0.000632096,,ENSMUSG00000032456
ENSMUSG00000034780_B3galt1,213.4129707,-1.133679937,0.269508009,-4.206479589,2.59E-05,0.00066802,,ENSMUSG00000034780
ENSMUSG00000020097_Sgpl1,6769.869298,-0.863442674,0.205639203,-4.198823278,2.68E-05,0.000687298,,ENSMUSG00000020097
ENSMUSG00000041696_Rasl12,281.1790056,-0.928790341,0.222199228,-4.179989048,2.92E-05,0.00074042,,ENSMUSG00000041696
ENSMUSG00000028427_Aqp7,129.705577,-1.549258065,0.371308043,-4.172433355,3.01E-05,0.000760157,,ENSMUSG00000028427
ENSMUSG00000027984_Hadh,2499.928663,-0.807104008,0.19406411,-4.158955551,3.20E-05,0.000799831,,ENSMUSG00000027984
ENSMUSG00000010051_Hyal1,217.6893537,-0.79972644,0.192610983,-4.152029282,3.30E-05,0.000821078,,ENSMUSG00000010051
ENSMUSG00000028278_Rragd,2884.859091,-0.615375321,0.14868794,-4.138703665,3.49E-05,0.000860901,,ENSMUSG00000028278
ENSMUSG00000032898_Fbxo21,1243.977555,-0.593488785,0.144852459,-4.097195093,4.18E-05,0.001006443,,ENSMUSG00000032898
ENSMUSG00000006651_Aplp1,379.0192615,-0.712711765,0.174293616,-4.089144414,4.33E-05,0.001036581,,ENSMUSG00000006651
ENSMUSG00000060180_Myh13,356.4837971,-5.833135222,1.429065253,-4.081783676,4.47E-05,0.001065818,,ENSMUSG00000060180
ENSMUSG00000034687_Fras1,282.3112402,-0.944319741,0.231539728,-4.078435037,4.53E-05,0.001078466,,ENSMUSG00000034687
ENSMUSG00000047907_Tshz2,950.6172975,-0.804459309,0.197784985,-4.067342675,4.76E-05,0.001123813,,ENSMUSG00000047907
ENSMUSG00000033610_Pank1,487.650868,-0.94695821,0.233120458,-4.06209827,4.86E-05,0.001146417,,ENSMUSG00000033610
ENSMUSG00000033208_S100b,889.7798516,-0.91168827,0.225293041,-4.04667746,5.19E-05,0.001209066,,ENSMUSG00000033208
ENSMUSG00000004267_Eno2,334.5865042,-1.125856811,0.278440231,-4.043441592,5.27E-05,0.001222718,,ENSMUSG00000004267
ENSMUSG00000062908_Acadm,4326.492068,-0.812872182,0.201378478,-4.0365395,5.42E-05,0.001252966,,ENSMUSG00000062908
ENSMUSG00000026664_Phyh,2676.866951,-0.934867734,0.233250999,-4.007990278,6.12E-05,0.00138828,,ENSMUSG00000026664
ENSMUSG00000033576_Apol6,322.462684,-1.464691846,0.367427552,-3.986341905,6.71E-05,0.001504461,,ENSMUSG00000033576
ENSMUSG00000059423_Zfp933,228.7787612,-0.671010288,0.168515335,-3.981894515,6.84E-05,0.001527304,,ENSMUSG00000059423
ENSMUSG00000046794_Ppp1r3b,336.708419,-1.24403336,0.312531329,-3.980507691,6.88E-05,0.001534376,,ENSMUSG00000046794
ENSMUSG00000050556_Kcnb1,561.0111086,-1.151597502,0.29031951,-3.966655567,7.29E-05,0.001614012,,ENSMUSG00000050556
ENSMUSG00000020456_Ogdh,9719.147293,-0.768732593,0.193927551,-3.964019506,7.37E-05,0.001628545,,ENSMUSG00000020456
ENSMUSG00000029020_Mfn2,3408.064798,-1.100513149,0.277800764,-3.961519523,7.45E-05,0.001643716,,ENSMUSG00000029020
ENSMUSG00000023927_Satb1,532.8180547,-0.889955968,0.226202755,-3.934328595,8.34E-05,0.001798142,,ENSMUSG00000023927
