,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,,,
ENSMUSG00000024620_Pdgfrb,1093.979057,0.139161873,0.190874181,0.729076464,0.465954891,0.748912881,,,19,ENSMUSG00000024620
ENSMUSG00000040325_Dcaf1,786.8169979,-0.139116185,0.190789595,-0.729160231,0.465903655,0.748912881,,,19,ENSMUSG00000040325
ENSMUSG00000073647_Gm10557,80.47434257,0.240086585,0.329287845,0.729108555,0.465935262,0.748912881,,,19,ENSMUSG00000073647
ENSMUSG00000099891_Gm5575,6.035036259,0.548667258,0.752413232,0.729210007,0.465873211,0.748912881,,,19,ENSMUSG00000099891
ENSMUSG00000115249_Gm49085,13.40387179,0.39245745,0.538188118,0.729219834,0.4658672,0.748912881,,,19,ENSMUSG00000115249
ENSMUSG00000029664_Tfpi2,9.536453155,-0.442677722,0.607244303,-0.728994442,0.466005062,0.748927968,,,19,ENSMUSG00000029664
ENSMUSG00000046658_Zfp316,318.0540557,0.157355495,0.215948633,0.728670947,0.466202969,0.74918046,,,19,ENSMUSG00000046658
ENSMUSG00000020601_Trib2,348.3880561,0.155105667,0.212895161,0.728554216,0.466274393,0.749229671,,,19,ENSMUSG00000020601
ENSMUSG00000006675_P4htm,112.1460366,0.180583147,0.248022011,0.728093227,0.466556519,0.749244766,,,19,ENSMUSG00000006675
ENSMUSG00000024800_Rpp30,139.2485512,-0.185008572,0.254107459,-0.728072183,0.466569401,0.749244766,,,19,ENSMUSG00000024800
ENSMUSG00000027849_Syt6,8.019258211,0.52345303,0.718737697,0.728294943,0.466433057,0.749244766,,,19,ENSMUSG00000027849
ENSMUSG00000029815_Malsu1,262.9290969,0.168751773,0.231761849,0.728125763,0.466536605,0.749244766,,,19,ENSMUSG00000029815
ENSMUSG00000052658_5830454E08Rik,16.45069982,0.373490925,0.512867035,0.728241239,0.466465926,0.749244766,,,19,ENSMUSG00000052658
ENSMUSG00000101089_2610016A17Rik,7.07586984,0.562835003,0.772909531,0.728202953,0.466489359,0.749244766,,,19,ENSMUSG00000101089
ENSMUSG00000103108_Rncr4,10.09118434,-0.385144907,0.528858759,-0.728256648,0.466456495,0.749244766,,,19,ENSMUSG00000103108
ENSMUSG00000022868_Ahsg,20.41100278,-0.516297971,0.709329176,-0.727867947,0.466694426,0.749260247,,,19,ENSMUSG00000022868
ENSMUSG00000034544_Rsrc1,528.0653107,0.110794516,0.15222028,0.727856476,0.466701449,0.749260247,,,19,ENSMUSG00000034544
ENSMUSG00000113165_Gm47863,30.65066529,0.327446953,0.44983473,0.727927238,0.466658128,0.749260247,,,19,ENSMUSG00000113165
ENSMUSG00000020982_Nemf,1402.126731,-0.1165934,0.160232484,-0.72765145,0.466826977,0.749396257,,,19,ENSMUSG00000020982
ENSMUSG00000009246_Trpm5,5.686033577,0.757477597,1.041379004,0.727379364,0.466993592,0.749504591,,,19,ENSMUSG00000009246
ENSMUSG00000028932_Psmc2,1723.797224,0.112457058,0.154587859,0.727463716,0.466941935,0.749504591,,,19,ENSMUSG00000028932
ENSMUSG00000068735_Trp53i11,541.2337975,0.164075087,0.225581978,0.727341289,0.467016911,0.749504591,,,19,ENSMUSG00000068735
ENSMUSG00000081884_Gm11821,5.140808724,0.605315566,0.832422941,0.727173095,0.467119926,0.749604404,,,19,ENSMUSG00000081884
ENSMUSG00000059119_Nap1l4,1922.88207,0.129803198,0.178538992,0.727029973,0.467207595,0.749679576,,,19,ENSMUSG00000059119
ENSMUSG00000045094_Arhgef37,653.8671954,0.204374444,0.2811469,0.726931165,0.467268125,0.74971119,,,19,ENSMUSG00000045094
ENSMUSG00000038860_Garnl3,209.3576124,-0.216051565,0.297288069,-0.72674146,0.46738435,0.749832153,,,19,ENSMUSG00000038860
ENSMUSG00000047260_Emc6,706.4303451,0.16511955,0.227297594,0.726446537,0.467565071,0.750056556,,,19,ENSMUSG00000047260
ENSMUSG00000001794_Capns1,5183.630062,-0.107337098,0.14783814,-0.726044701,0.467811368,0.750277342,,,19,ENSMUSG00000001794
ENSMUSG00000020132_Rab21,1381.072777,0.076766571,0.105745581,0.725955362,0.467866136,0.750277342,,,19,ENSMUSG00000020132
ENSMUSG00000041491_Cep78,149.7792501,0.159214717,0.219313304,0.725969259,0.467857616,0.750277342,,,19,ENSMUSG00000041491
ENSMUSG00000096833_Igkv4-55,13.02644256,1.676309383,2.308824419,0.726044549,0.467811461,0.750277342,,,19,ENSMUSG00000096833
ENSMUSG00000019877_Serinc1,4314.561056,0.081598413,0.112427223,0.72578874,0.467968291,0.750297142,,,19,ENSMUSG00000019877
ENSMUSG00000031732_Phlpp2,381.8990846,0.148803879,0.20503878,0.725735296,0.46800106,0.750297142,,,19,ENSMUSG00000031732
ENSMUSG00000069456_Rdh16,8.486139512,0.99216501,1.366897872,0.725851601,0.467929749,0.750297142,,,19,ENSMUSG00000069456
ENSMUSG00000078816_Prkcg,46.10441167,0.227136453,0.313004633,0.725664828,0.468044269,0.750300909,,,19,ENSMUSG00000078816
ENSMUSG00000036941_Elac1,493.938365,0.112495053,0.155092891,0.725339843,0.468243569,0.750554875,,,19,ENSMUSG00000036941
ENSMUSG00000026036_Nif3l1,337.0934287,-0.119369792,0.16458759,-0.725266053,0.468288827,0.750561904,,,19,ENSMUSG00000026036
ENSMUSG00000017119_Nbr1,3173.341003,0.081466968,0.112358535,0.725062572,0.468413645,0.750696435,,,19,ENSMUSG00000017119
ENSMUSG00000014444_Piezo1,4631.879267,-0.142181597,0.196287833,-0.724352572,0.468849309,0.750860542,,,19,ENSMUSG00000014444
ENSMUSG00000023805_Synj2,1411.55558,-0.11997824,0.165584164,-0.724575569,0.468712452,0.750860542,,,19,ENSMUSG00000023805
ENSMUSG00000024993_Fam45a,563.7000717,0.103126762,0.142385943,0.724276286,0.468896133,0.750860542,,,19,ENSMUSG00000024993
ENSMUSG00000025939_Ube2w,625.8015655,-0.109386271,0.151135457,-0.723763127,0.46921117,0.750860542,,,19,ENSMUSG00000025939
ENSMUSG00000026116_Tmem131,1841.913957,0.123115143,0.16998633,0.724264964,0.468903082,0.750860542,,,19,ENSMUSG00000026116
ENSMUSG00000026637_Traf5,258.6123248,-0.154389456,0.213306061,-0.723793104,0.469192763,0.750860542,,,19,ENSMUSG00000026637
ENSMUSG00000027185_Nat10,706.4494306,0.169288074,0.233782639,0.724125942,0.46898842,0.750860542,,,19,ENSMUSG00000027185
ENSMUSG00000028964_Park7,2402.567699,-0.136152047,0.188046291,-0.724034738,0.469044409,0.750860542,,,19,ENSMUSG00000028964
ENSMUSG00000036459_Wtip,293.8254627,-0.155180144,0.214333383,-0.724012944,0.469057789,0.750860542,,,19,ENSMUSG00000036459
ENSMUSG00000038025_Phf2,1417.949445,0.116706478,0.16115691,0.724179175,0.468955742,0.750860542,,,19,ENSMUSG00000038025
ENSMUSG00000038236_Hoxa7,25.20928714,0.49519325,0.684151024,0.723806927,0.469184276,0.750860542,,,19,ENSMUSG00000038236
ENSMUSG00000039759_Thap3,386.0181092,-0.136520637,0.188544939,-0.724074791,0.46901982,0.750860542,,,19,ENSMUSG00000039759
ENSMUSG00000042613_Pbxip1,6238.848302,0.108858048,0.150213407,0.724689296,0.468642663,0.750860542,,,19,ENSMUSG00000042613
ENSMUSG00000049717_Lig4,300.6780229,-0.108860311,0.150398317,-0.723813358,0.469180328,0.750860542,,,19,ENSMUSG00000049717
ENSMUSG00000062580_Timm17a,1153.857783,0.163043812,0.224981595,0.724698443,0.468637051,0.750860542,,,19,ENSMUSG00000062580
ENSMUSG00000092577_Gm7393,5.757178989,0.871462155,1.203594968,0.72404935,0.469035438,0.750860542,,,19,ENSMUSG00000092577
ENSMUSG00000105813_Gm42928,11.59003805,0.410307323,0.566469187,0.72432417,0.468866742,0.750860542,,,19,ENSMUSG00000105813
ENSMUSG00000004880_Lbr,679.2532572,0.093500743,0.129226576,0.72354113,0.469347494,0.750908608,,,19,ENSMUSG00000004880
ENSMUSG00000026726_Cubn,17.18556349,0.581299494,0.803438687,0.723514443,0.469363884,0.750908608,,,19,ENSMUSG00000026726
ENSMUSG00000070520_Nsmce3,322.8085831,-0.145763118,0.201435825,-0.723620629,0.469298673,0.750908608,,,19,ENSMUSG00000070520
ENSMUSG00000051486_Pcdhb11,13.04914912,-0.444023508,0.613815889,-0.723382233,0.469445084,0.750973087,,,19,ENSMUSG00000051486
ENSMUSG00000040740_Slc25a34,156.6974867,0.448035905,0.619576292,0.723132746,0.469598333,0.751152804,,,19,ENSMUSG00000040740
ENSMUSG00000019837_Gtf3c6,686.1667217,-0.110717863,0.153144131,-0.722965107,0.469701322,0.751249442,,,19,ENSMUSG00000019837
ENSMUSG00000027162_Lin7c,1935.232257,-0.102213226,0.141406097,-0.722834643,0.469781481,0.751249442,,,19,ENSMUSG00000027162
ENSMUSG00000071359_Tbpl1,402.3861286,0.137097091,0.18965039,0.7228938,0.469745133,0.751249442,,,19,ENSMUSG00000071359
ENSMUSG00000031292_Cdkl5,197.1615519,0.16487619,0.228180575,0.722568914,0.469944772,0.751252376,,,19,ENSMUSG00000031292
ENSMUSG00000037593_Rskr,5.483768253,0.522630017,0.723446618,0.722416836,0.470038239,0.751252376,,,19,ENSMUSG00000037593
ENSMUSG00000051074_4930579K19Rik,21.24302799,0.311556102,0.431251065,0.722447148,0.470019608,0.751252376,,,19,ENSMUSG00000051074
ENSMUSG00000055497_Gm9974,7.256310007,0.729062292,1.008831926,0.722679639,0.469876728,0.751252376,,,19,ENSMUSG00000055497
ENSMUSG00000095990_Zfp97,174.9955516,-0.167259917,0.231530497,-0.722409872,0.470042519,0.751252376,,,19,ENSMUSG00000095990
ENSMUSG00000102759_Gm10463,9.46581981,-0.43974824,0.608616888,-0.722537032,0.469964366,0.751252376,,,19,ENSMUSG00000102759
ENSMUSG00000107810_Gm18609,6.949031125,0.868349019,1.20209067,0.722365659,0.470069695,0.751252376,,,19,ENSMUSG00000107810
ENSMUSG00000023020_Cox14,823.9968476,0.142854425,0.197920551,0.721776612,0.470431831,0.751375471,,,19,ENSMUSG00000023020
ENSMUSG00000024422_Dhx16,899.9486572,-0.09474736,0.131294241,-0.721641401,0.470514978,0.751375471,,,19,ENSMUSG00000024422
ENSMUSG00000027522_Stx16,1191.744624,0.090887656,0.125876289,0.722039524,0.470270178,0.751375471,,,19,ENSMUSG00000027522
ENSMUSG00000029638_Glcci1,184.4448363,0.171329102,0.237376087,0.721762266,0.470440653,0.751375471,,,19,ENSMUSG00000029638
ENSMUSG00000033478_Fam160b1,745.2687499,0.107257005,0.148556494,0.721994725,0.47029772,0.751375471,,,19,ENSMUSG00000033478
ENSMUSG00000035064_Eef2k,419.655202,0.207393202,0.28737947,0.721670209,0.470497262,0.751375471,,,19,ENSMUSG00000035064
ENSMUSG00000050890_Pdik1l,278.9817113,-0.157080236,0.217612843,-0.72183348,0.470396863,0.751375471,,,19,ENSMUSG00000050890
ENSMUSG00000078572_Ndufaf8,190.7250235,-0.203662359,0.282167828,-0.721777392,0.470431352,0.751375471,,,19,ENSMUSG00000078572
ENSMUSG00000091514_Gm17484,14.14423789,0.420313719,0.58223208,0.721900653,0.47035556,0.751375471,,,19,ENSMUSG00000091514
ENSMUSG00000113527_Gm48079,5.460754825,-0.559915645,0.776139524,-0.721411071,0.470656637,0.751536332,,,19,ENSMUSG00000113527
ENSMUSG00000032333_Stoml1,481.1928179,-0.100702374,0.139620761,-0.721256448,0.470751747,0.751622844,,,19,ENSMUSG00000032333
ENSMUSG00000032615_Nt5m,197.2988458,-0.204352205,0.283415253,-0.721034603,0.470888225,0.75164505,,,19,ENSMUSG00000032615
ENSMUSG00000038828_Tmem214,1711.260845,-0.096639276,0.134026191,-0.721047697,0.470880169,0.75164505,,,19,ENSMUSG00000038828
ENSMUSG00000039452_Snx22,765.5995219,-0.17019393,0.2360414,-0.721034233,0.470888453,0.75164505,,,19,ENSMUSG00000039452
ENSMUSG00000038086_Hspb2,276.3497374,0.371242414,0.51505877,0.720776802,0.47104685,0.751832535,,,19,ENSMUSG00000038086
ENSMUSG00000024357_Sil1,974.7781306,-0.141102423,0.195918197,-0.720210911,0.471395147,0.752257677,,,19,ENSMUSG00000024357
ENSMUSG00000032422_Snx14,1246.900578,0.1085587,0.150723775,0.720249343,0.471371488,0.752257677,,,19,ENSMUSG00000032422
ENSMUSG00000021559_Dapk1,3301.047451,0.134222066,0.186444984,0.719901727,0.471585505,0.75227413,,,19,ENSMUSG00000021559
ENSMUSG00000046314_Stxbp6,574.2808497,0.149323729,0.207453181,0.719794839,0.471651323,0.75227413,,,19,ENSMUSG00000046314
ENSMUSG00000058174_Gm5148,257.2331027,0.172894814,0.240215698,0.719748188,0.471680051,0.75227413,,,19,ENSMUSG00000058174
ENSMUSG00000068696_Gpr88,9.852543036,0.544965559,0.756933463,0.719964945,0.47154658,0.75227413,,,19,ENSMUSG00000068696
ENSMUSG00000083111_Gm14421,48.50505438,-0.259786951,0.360856657,-0.719917301,0.471575915,0.75227413,,,19,ENSMUSG00000083111
ENSMUSG00000103955_Gm37270,12.7651169,0.535084236,0.7432727,0.719902985,0.47158473,0.75227413,,,19,ENSMUSG00000103955
ENSMUSG00000109224_Tmem147os,18.63219135,-0.308446294,0.428559281,-0.719728419,0.471692225,0.75227413,,,19,ENSMUSG00000109224
ENSMUSG00000035148_Gpr33,4.750932531,-0.569478714,0.791588535,-0.719412534,0.471886776,0.752514686,,,19,ENSMUSG00000035148
ENSMUSG00000049728_Zfp668,132.4185888,-0.144074784,0.200284554,-0.719350449,0.471925019,0.752514686,,,19,ENSMUSG00000049728
ENSMUSG00000037922_Bank1,29.3710557,0.38920707,0.541398491,0.718892049,0.472207436,0.752899639,,,19,ENSMUSG00000037922
ENSMUSG00000001039_B9d1,182.8844309,-0.184619582,0.256938076,-0.718537265,0.472426079,0.753095943,,,19,ENSMUSG00000001039
ENSMUSG00000029207_Apbb2,635.3127724,0.102226111,0.142284344,0.718463522,0.472471532,0.753095943,,,19,ENSMUSG00000029207
ENSMUSG00000062202_Btbd9,535.4971701,0.173714192,0.241798277,0.718426096,0.472494601,0.753095943,,,19,ENSMUSG00000062202
ENSMUSG00000085833_Gm13003,90.24202025,0.289587317,0.403027258,0.718530353,0.47243034,0.753095943,,,19,ENSMUSG00000085833
ENSMUSG00000034639_Setmar,78.74822279,0.222789168,0.310138627,0.718353499,0.472539351,0.753101901,,,19,ENSMUSG00000034639
ENSMUSG00000020282_Rhbdf1,1219.875367,-0.130744463,0.182043643,-0.718203945,0.472631546,0.753118108,,,19,ENSMUSG00000020282
ENSMUSG00000021044_Adck1,319.3654219,0.132427515,0.184380384,0.718229953,0.472615512,0.753118108,,,19,ENSMUSG00000021044
ENSMUSG00000020441_2310033P09Rik,269.8185484,-0.118169927,0.164557891,-0.718105507,0.472692235,0.753149459,,,19,ENSMUSG00000020441
ENSMUSG00000026854_Usp20,929.3061797,-0.18443649,0.256908121,-0.717908368,0.472813788,0.753277771,,,19,ENSMUSG00000026854
ENSMUSG00000034126_Pomt2,509.9564914,0.108578884,0.15127209,0.717772093,0.472897823,0.753346293,,,19,ENSMUSG00000034126
ENSMUSG00000014769_Psmb1,2112.159467,-0.103679297,0.144502726,-0.717490251,0.47307165,0.753501683,,,19,ENSMUSG00000014769
ENSMUSG00000063458_Lrmda,79.7551742,0.194413762,0.270967169,0.717480875,0.473077433,0.753501683,,,19,ENSMUSG00000063458
ENSMUSG00000028423_Nfx1,1381.235714,0.096640216,0.134710695,0.717390819,0.473132983,0.753524802,,,19,ENSMUSG00000028423
ENSMUSG00000004018_Fancl,159.9495127,0.169673503,0.236559927,0.717253785,0.473217518,0.753528727,,,19,ENSMUSG00000004018
ENSMUSG00000110245_Gm20100,10.3782902,-0.551607197,0.769046538,-0.71726114,0.47321298,0.753528727,,,19,ENSMUSG00000110245
ENSMUSG00000012187_Mogat1,20.91356721,0.311957691,0.435063913,0.717038764,0.473350178,0.753547601,,,19,ENSMUSG00000012187
ENSMUSG00000030421_Uri1,902.410029,0.104929447,0.146349515,0.716978438,0.473387401,0.753547601,,,19,ENSMUSG00000030421
ENSMUSG00000051306_Usp42,435.9514255,0.11121702,0.155088176,0.71712121,0.47329931,0.753547601,,,19,ENSMUSG00000051306
ENSMUSG00000117992_Gm41760,16.35237178,0.43708327,0.609626855,0.716968529,0.473393516,0.753547601,,,19,ENSMUSG00000117992
ENSMUSG00000035206_Sppl2b,575.0195279,-0.112298569,0.156673716,-0.716767126,0.473517799,0.753680103,,,19,ENSMUSG00000035206
ENSMUSG00000003477_Inmt,493.2727304,0.192050017,0.2680832,0.716382142,0.473755419,0.75370746,,,19,ENSMUSG00000003477
ENSMUSG00000016496_Cd274,188.4112962,-0.178088742,0.248609139,-0.716340286,0.473781257,0.75370746,,,19,ENSMUSG00000016496
ENSMUSG00000024845_Tmem134,1160.5367,-0.145685796,0.203370875,-0.716355259,0.473772014,0.75370746,,,19,ENSMUSG00000024845
ENSMUSG00000074913_Gm815,9.197130276,0.597123127,0.833253774,0.716616169,0.473610965,0.75370746,,,19,ENSMUSG00000074913
ENSMUSG00000081219_Bambi-ps1,5.183469618,0.547222171,0.763750842,0.716493051,0.473686957,0.75370746,,,19,ENSMUSG00000081219
ENSMUSG00000086873_Gm15672,10.35628217,0.487621736,0.680638582,0.716418007,0.473733279,0.75370746,,,19,ENSMUSG00000086873
ENSMUSG00000017664_Slc35c2,560.6185503,-0.103312244,0.144252739,-0.716189129,0.473874575,0.753790611,,,19,ENSMUSG00000017664
ENSMUSG00000046573_Lyrm4,165.9080233,-0.14754988,0.206040439,-0.716120976,0.473916653,0.753792247,,,19,ENSMUSG00000046573
ENSMUSG00000030177_Ccdc77,191.4443865,0.146492176,0.204619898,0.715923412,0.474038641,0.753920974,,,19,ENSMUSG00000030177
ENSMUSG00000020776_Fbf1,865.8973331,0.120296166,0.168075013,0.715729029,0.474158682,0.754029402,,,19,ENSMUSG00000020776
ENSMUSG00000026785_Pkn3,305.5150442,-0.134156237,0.187452815,-0.715680034,0.474188942,0.754029402,,,19,ENSMUSG00000026785
ENSMUSG00000000318_Clec10a,183.3960513,-0.141661272,0.198019216,-0.715391541,0.474367138,0.754203536,,,19,ENSMUSG00000000318
ENSMUSG00000097766_5730420D15Rik,7.803646028,0.645625129,0.902505481,0.715369759,0.474380594,0.754203536,,,19,ENSMUSG00000097766
ENSMUSG00000028688_Toe1,333.7470875,0.158686237,0.221874921,0.715205828,0.474481868,0.754233946,,,19,ENSMUSG00000028688
ENSMUSG00000110863_Gm34655,9.526679234,-0.418642951,0.585334578,-0.715219922,0.474473161,0.754233946,,,19,ENSMUSG00000110863
ENSMUSG00000022092_Ppp3cc,758.2251023,0.136771999,0.19128548,0.71501506,0.474599738,0.754234632,,,19,ENSMUSG00000022092
ENSMUSG00000024054_Smchd1,911.7629471,-0.091983182,0.12866087,-0.714927404,0.474653903,0.754234632,,,19,ENSMUSG00000024054
ENSMUSG00000034108_Ccs,447.8808877,-0.098859611,0.138270518,-0.714972445,0.47462607,0.754234632,,,19,ENSMUSG00000034108
ENSMUSG00000037029_Zfp146,708.2414492,0.083874257,0.117327531,0.714872764,0.474687668,0.754234632,,,19,ENSMUSG00000037029
ENSMUSG00000097174_Gm4890,25.61199683,0.319932848,0.447533529,0.714880175,0.474683088,0.754234632,,,19,ENSMUSG00000097174
ENSMUSG00000022516_Nudt16l1,442.9851876,0.141152276,0.197499785,0.714695848,0.474797004,0.754343085,,,19,ENSMUSG00000022516
ENSMUSG00000086283_2810433D01Rik,6.288391835,0.539593073,0.75522206,0.714482669,0.474928769,0.754487152,,,19,ENSMUSG00000086283
ENSMUSG00000020709_Adap2,118.9761658,-0.211821556,0.296556477,-0.714270541,0.475059905,0.754499657,,,19,ENSMUSG00000020709
ENSMUSG00000030216_Wbp11,989.246506,0.07573622,0.106029007,0.714297173,0.47504344,0.754499657,,,19,ENSMUSG00000030216
ENSMUSG00000040618_Pck2,446.8056453,0.097599678,0.136621756,0.714378741,0.474993014,0.754499657,,,19,ENSMUSG00000040618
ENSMUSG00000026836_Acvr1,373.6292559,0.115890634,0.162291132,0.714090985,0.47517092,0.75453434,,,19,ENSMUSG00000026836
ENSMUSG00000028416_Bag1,2196.086742,0.121715253,0.170460983,0.714035849,0.475205012,0.75453434,,,19,ENSMUSG00000028416
ENSMUSG00000036912_Piwil4,7.88989735,0.443579847,0.621228904,0.714036073,0.475204874,0.75453434,,,19,ENSMUSG00000036912
ENSMUSG00000039615_Stub1,1958.366491,-0.096631344,0.135375089,-0.713804477,0.475348091,0.754646077,,,19,ENSMUSG00000039615
ENSMUSG00000111027_Gm2981,6.728390333,0.972909846,1.363021362,0.71378914,0.475357576,0.754646077,,,19,ENSMUSG00000111027
ENSMUSG00000027630_Tbl1xr1,1324.244859,-0.122054047,0.171039319,-0.713602275,0.475473151,0.754698658,,,19,ENSMUSG00000027630
ENSMUSG00000031828_Klhl36,123.3540274,-0.13778458,0.193101026,-0.713536243,0.475513994,0.754698658,,,19,ENSMUSG00000031828
ENSMUSG00000116604_Gm49745,9.794769613,0.464584362,0.650997673,0.713649805,0.475443752,0.754698658,,,19,ENSMUSG00000116604
ENSMUSG00000039578_Ccser1,220.2093551,-0.24174175,0.338889123,-0.713335818,0.475637978,0.754777059,,,19,ENSMUSG00000039578
ENSMUSG00000043300_B3galnt1,121.7813624,-0.158876905,0.222727703,-0.713323501,0.475645598,0.754777059,,,19,ENSMUSG00000043300
ENSMUSG00000002588_Pon1,238.3689211,0.317596246,0.445313432,0.713197095,0.475723804,0.754835929,,,19,ENSMUSG00000002588
ENSMUSG00000028089_Chd1l,756.6585097,0.104040338,0.145925059,0.712971022,0.475863689,0.754992649,,,19,ENSMUSG00000028089
ENSMUSG00000061048_Cdh3,23.45677825,-0.395786393,0.555274921,-0.712775561,0.475984651,0.755119321,,,19,ENSMUSG00000061048
ENSMUSG00000052105_Mtcl1,667.236706,0.180578588,0.253495593,0.712353953,0.476245622,0.755415998,,,19,ENSMUSG00000052105
ENSMUSG00000105368_Gm43759,29.81276595,0.351576272,0.493550851,0.712340525,0.476253935,0.755415998,,,19,ENSMUSG00000105368
ENSMUSG00000080741_Gm11398,4.969338064,-1.808428216,2.539257035,-0.712187932,0.476348409,0.755500591,,,19,ENSMUSG00000080741
ENSMUSG00000075415_Fnbp1,2326.859123,-0.124815586,0.175319529,-0.711932016,0.476506875,0.755686653,,,19,ENSMUSG00000075415
ENSMUSG00000022752_Tomm70a,1428.355593,0.078141937,0.109802455,0.711659294,0.47667578,0.755709654,,,19,ENSMUSG00000022752
ENSMUSG00000036968_Cnpy4,318.0557952,-0.133909617,0.188188228,-0.711572759,0.476729381,0.755709654,,,19,ENSMUSG00000036968
ENSMUSG00000039153_Runx2,93.95970186,-0.307470901,0.432111064,-0.711555262,0.476740219,0.755709654,,,19,ENSMUSG00000039153
ENSMUSG00000059734_Ndufs8,1340.747594,-0.196805547,0.276602672,-0.711509925,0.476768303,0.755709654,,,19,ENSMUSG00000059734
ENSMUSG00000078902_Gm14443,65.9053417,-0.300783281,0.422658206,-0.711646613,0.476683635,0.755709654,,,19,ENSMUSG00000078902
ENSMUSG00000081441_Gm6161,6.725259344,0.565280837,0.794402751,0.711579657,0.476725108,0.755709654,,,19,ENSMUSG00000081441
ENSMUSG00000022255_Mtdh,2591.578385,-0.097596332,0.137345918,-0.710587783,0.477339716,0.755962846,,,19,ENSMUSG00000022255
ENSMUSG00000023235_Ccl25,107.2207854,-0.298667231,0.420155389,-0.71084946,0.477177527,0.755962846,,,19,ENSMUSG00000023235
ENSMUSG00000025184_R3hcc1l,440.6530328,0.117482488,0.165245369,0.710957826,0.47711037,0.755962846,,,19,ENSMUSG00000025184
ENSMUSG00000027395_Polr1b,370.5819857,-0.122625731,0.172540094,-0.710708616,0.477264819,0.755962846,,,19,ENSMUSG00000027395
ENSMUSG00000030428_Ttyh1,40.1146765,0.28157612,0.396223825,0.710649138,0.477301685,0.755962846,,,19,ENSMUSG00000030428
ENSMUSG00000032346_Ooep,213.2833849,-0.165030255,0.232168434,-0.710821243,0.477195015,0.755962846,,,19,ENSMUSG00000032346
ENSMUSG00000032436_Cmtm7,290.2065604,-0.133204547,0.187426216,-0.710703923,0.477267728,0.755962846,,,19,ENSMUSG00000032436
ENSMUSG00000056481_Cd248,369.3440904,0.173404963,0.243912774,0.710930221,0.477127478,0.755962846,,,19,ENSMUSG00000056481
ENSMUSG00000074247_Dda1,798.5119233,0.113181688,0.159176019,0.711047358,0.47705489,0.755962846,,,19,ENSMUSG00000074247
ENSMUSG00000085322_Gm14261,13.43273391,0.600034871,0.844358286,0.710640118,0.477307276,0.755962846,,,19,ENSMUSG00000085322
ENSMUSG00000029290_Zfp326,566.6762703,0.145158845,0.204299353,0.710520337,0.477381524,0.755963861,,,19,ENSMUSG00000029290
ENSMUSG00000030754_Copb1,2310.511812,-0.085429673,0.120255148,-0.710403457,0.47745398,0.756013403,,,19,ENSMUSG00000030754
ENSMUSG00000047986_Palm3,8.521984274,-0.477125502,0.671786773,-0.710233546,0.477559321,0.756115004,,,19,ENSMUSG00000047986
ENSMUSG00000091421_Gm4202,23.88064096,-0.379664486,0.534669297,-0.710092179,0.477646976,0.756188587,,,19,ENSMUSG00000091421
ENSMUSG00000029782_Tmem209,534.7923074,0.09850901,0.138777807,0.709832594,0.477807954,0.756282992,,,19,ENSMUSG00000029782
ENSMUSG00000030522_Mtmr10,652.3296788,0.115385161,0.162552502,0.70983319,0.477807585,0.756282992,,,19,ENSMUSG00000030522
ENSMUSG00000033597_Caskin1,165.4901072,0.251858804,0.354871298,0.709718724,0.477878579,0.756282992,,,19,ENSMUSG00000033597
ENSMUSG00000040472_Rabggta,704.1651027,-0.102174451,0.143975816,-0.709663982,0.477912533,0.756282992,,,19,ENSMUSG00000040472
ENSMUSG00000042050_Wdr60,404.1340869,0.144161458,0.203107306,0.709779778,0.477840711,0.756282992,,,19,ENSMUSG00000042050
ENSMUSG00000029130_Rnf32,100.6233721,-0.200715773,0.28287151,-0.709565178,0.47797382,0.7563148,,,19,ENSMUSG00000029130
ENSMUSG00000029640_Usp12,1169.066104,0.097736082,0.137763391,0.709448872,0.478045969,0.756363788,,,19,ENSMUSG00000029640
ENSMUSG00000067925_Rtl8a,563.4263255,-0.105152101,0.148252186,-0.709278588,0.478151613,0.75646576,,,19,ENSMUSG00000067925
ENSMUSG00000061371_Zfp873,102.6952865,0.155667762,0.21953161,0.709090423,0.478268366,0.756524768,,,19,ENSMUSG00000061371
ENSMUSG00000073073_Gm8098,17.26535788,-0.366771022,0.517244998,-0.709085681,0.478271308,0.756524768,,,19,ENSMUSG00000073073
ENSMUSG00000002908_Kcnn1,112.746313,0.357770471,0.504894209,0.708604822,0.478569743,0.756529507,,,19,ENSMUSG00000002908
ENSMUSG00000023963_Cyp39a1,424.7456427,-0.103157648,0.145583601,-0.708580136,0.478585067,0.756529507,,,19,ENSMUSG00000023963
ENSMUSG00000029072_Tas1r3,36.14713928,0.25020534,0.353073893,0.708648658,0.478542533,0.756529507,,,19,ENSMUSG00000029072
ENSMUSG00000037206_Islr,678.0181801,-0.235491858,0.332150319,-0.708991816,0.478329556,0.756529507,,,19,ENSMUSG00000037206
ENSMUSG00000037759_Ptger2,25.05032481,-0.285245144,0.402496402,-0.708689922,0.47851692,0.756529507,,,19,ENSMUSG00000037759
ENSMUSG00000039633_Lonrf1,183.1483022,0.145988971,0.205973762,0.708774601,0.478464362,0.756529507,,,19,ENSMUSG00000039633
ENSMUSG00000048007_Timm8a1,210.8676768,-0.159136052,0.224560649,-0.708655116,0.478538525,0.756529507,,,19,ENSMUSG00000048007
