,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,,,
ENSMUSG00000050359_Sprr1a,470.6203673,-7.577551779,0.973490318,-7.783900506,7.03E-15,1.70E-12,,,19,ENSMUSG00000050359
ENSMUSG00000006143_Upk3bl,433.5827089,-3.224935409,0.414696215,-7.776621285,7.45E-15,1.77E-12,,,19,ENSMUSG00000006143
ENSMUSG00000031780_Ccl17,106.0884286,-4.686231206,0.602801092,-7.774092103,7.60E-15,1.77E-12,,,19,ENSMUSG00000031780
ENSMUSG00000061878_Sphk1,269.6394289,-3.244321532,0.41734169,-7.773777725,7.62E-15,1.77E-12,,,19,ENSMUSG00000061878
ENSMUSG00000020432_Tcn2,6326.442234,-1.226948083,0.158590005,-7.736604094,1.02E-14,2.34E-12,,,19,ENSMUSG00000020432
ENSMUSG00000020120_Plek,393.9468705,-1.542924845,0.200336734,-7.701657168,1.34E-14,3.04E-12,,,19,ENSMUSG00000020120
ENSMUSG00000030605_Mfge8,3379.846896,-1.330984793,0.173254322,-7.682260255,1.56E-14,3.50E-12,,,19,ENSMUSG00000030605
ENSMUSG00000072941_Sod3,3629.326407,-1.829940711,0.238619703,-7.668858404,1.74E-14,3.84E-12,,,19,ENSMUSG00000072941
ENSMUSG00000027419_Pcsk2,761.7686499,3.006531236,0.393405665,7.642318096,2.13E-14,4.66E-12,,,19,ENSMUSG00000027419
ENSMUSG00000032688_Malt1,1004.913953,-1.555374134,0.203678688,-7.636410818,2.23E-14,4.83E-12,,,19,ENSMUSG00000032688
ENSMUSG00000105703_Gm43305,1503.557499,-2.125623522,0.280115799,-7.58837427,3.24E-14,6.92E-12,,,19,ENSMUSG00000105703
ENSMUSG00000049866_Arl4c,609.6281385,-1.810926489,0.239043593,-7.575716496,3.57E-14,7.54E-12,,,19,ENSMUSG00000049866
ENSMUSG00000067786_Nnat,178.1838741,2.676267474,0.356265382,7.512005392,5.82E-14,1.22E-11,,,19,ENSMUSG00000067786
ENSMUSG00000029379_Cxcl3,29.30663307,-7.591432669,1.012343869,-7.498867632,6.44E-14,1.33E-11,,,19,ENSMUSG00000029379
ENSMUSG00000005124_Ccn4,4203.097378,1.460322996,0.194861616,7.494154199,6.67E-14,1.36E-11,,,19,ENSMUSG00000005124
ENSMUSG00000032561_Acpp,895.7557036,-2.280294106,0.304326506,-7.492919799,6.74E-14,1.36E-11,,,19,ENSMUSG00000032561
ENSMUSG00000072575_Eddm3b,301.3485003,1.523837683,0.204682518,7.44488438,9.70E-14,1.94E-11,,,19,ENSMUSG00000072575
ENSMUSG00000032181_Scg3,284.8946741,2.736347777,0.36821699,7.431345784,1.07E-13,2.12E-11,,,19,ENSMUSG00000032181
ENSMUSG00000034926_Dhcr24,1637.857121,-1.555168666,0.209422514,-7.425986038,1.12E-13,2.19E-11,,,19,ENSMUSG00000034926
ENSMUSG00000029093_Sorcs2,423.1004013,1.261054718,0.170800795,7.383189973,1.55E-13,2.99E-11,,,19,ENSMUSG00000029093
ENSMUSG00000035186_Ubd,85.52866627,-2.935193539,0.397820309,-7.378189282,1.60E-13,3.07E-11,,,19,ENSMUSG00000035186
ENSMUSG00000112907_Gm47015,35.03510945,-3.450284644,0.468038623,-7.371794709,1.68E-13,3.19E-11,,,19,ENSMUSG00000112907
ENSMUSG00000027276_Jag1,1012.200974,-1.007610497,0.137326799,-7.337318749,2.18E-13,4.06E-11,,,19,ENSMUSG00000027276
ENSMUSG00000041986_Elmod1,126.7310922,-2.794470578,0.380889547,-7.336695372,2.19E-13,4.06E-11,,,19,ENSMUSG00000041986
