,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,,ensembl_id
ENSMUSG00000041361_Myzap,125.5279051,0.781411414,0.259852494,3.007134555,0.00263723,0.027976577,,ENSMUSG00000041361
ENSMUSG00000040612_Ildr2,122.9884455,0.850019002,0.28277404,3.006000838,0.002647083,0.028032514,,ENSMUSG00000040612
ENSMUSG00000079227_Ccr5,219.4824288,0.926423398,0.308987962,2.998250783,0.002715341,0.028639755,,ENSMUSG00000079227
ENSMUSG00000028862_Map3k6,212.9523306,1.061734498,0.355225504,2.988902784,0.002799812,0.029338087,,ENSMUSG00000028862
ENSMUSG00000073489_Ifi204,315.0495871,0.709455332,0.237371023,2.988803443,0.002800722,0.029338087,,ENSMUSG00000073489
ENSMUSG00000025511_Tspan4,210.9278457,0.635024927,0.212588123,2.987113856,0.002816248,0.02943356,,ENSMUSG00000025511
ENSMUSG00000003541_Ier3,255.6868736,0.821649555,0.275174523,2.98592161,0.002827251,0.029531747,,ENSMUSG00000003541
ENSMUSG00000032470_Mras,490.5225787,0.595367929,0.199650449,2.982051543,0.002863238,0.029839749,,ENSMUSG00000032470
ENSMUSG00000030878_Cdr2,245.9498987,0.798379752,0.267762478,2.981671513,0.002866794,0.029859864,,ENSMUSG00000030878
ENSMUSG00000027186_Elf5,141.8994599,1.391586561,0.467390657,2.977352117,0.002907499,0.030181119,,ENSMUSG00000027186
ENSMUSG00000046470_Sox18,382.6367239,0.618650447,0.207808897,2.97701617,0.002910687,0.03019714,,ENSMUSG00000046470
ENSMUSG00000048332_Lhfp,523.5077363,0.603351334,0.202858324,2.974249822,0.002937058,0.030419179,,ENSMUSG00000048332
ENSMUSG00000058099_Nfam1,198.1357053,0.75698675,0.254666317,2.97246514,0.002954188,0.030527713,,ENSMUSG00000058099
ENSMUSG00000029298_Gbp9,451.2039852,0.588495433,0.198304915,2.96762908,0.003001062,0.030907745,,ENSMUSG00000029298
ENSMUSG00000033350_Chst2,256.1692623,0.856898667,0.28881211,2.966976235,0.003007442,0.030938744,,ENSMUSG00000033350
ENSMUSG00000022102_Dok2,158.5557616,0.952525488,0.321275898,2.964820874,0.003028592,0.031121454,,ENSMUSG00000022102
ENSMUSG00000008136_Fhl2,296.493997,0.733695513,0.24786528,2.960057634,0.003075815,0.031508849,,ENSMUSG00000008136
ENSMUSG00000036894_Rap2b,337.4905448,0.599681011,0.202682122,2.95872672,0.003089129,0.031593719,,ENSMUSG00000036894
ENSMUSG00000056708_Ier5,781.1653374,0.632580268,0.213833728,2.958281062,0.003093599,0.031612555,,ENSMUSG00000056708
ENSMUSG00000002458_Rgs19,229.1895044,0.678090087,0.229304021,2.95716614,0.003104808,0.031709447,,ENSMUSG00000002458
ENSMUSG00000059742_Kcnh7,199.7237381,0.637642476,0.215752904,2.955429394,0.003122342,0.031870794,,ENSMUSG00000059742
ENSMUSG00000020592_Sdc1,533.1126884,1.201730243,0.40669569,2.954863482,0.003128074,0.031911572,,ENSMUSG00000020592
ENSMUSG00000063297_Luzp2,259.9216702,1.403917126,0.475284474,2.953845964,0.003138406,0.031981438,,ENSMUSG00000063297
ENSMUSG00000026893_Gca,869.1756625,0.588599183,0.19930602,2.953243377,0.003144539,0.032008413,,ENSMUSG00000026893
ENSMUSG00000020875_Hoxb9,132.3755744,1.303279569,0.441435927,2.952364066,0.003153509,0.032081929,,ENSMUSG00000020875
ENSMUSG00000021097_Clmn,4538.41375,0.687156996,0.233029452,2.948798918,0.003190115,0.032346812,,ENSMUSG00000021097
ENSMUSG00000027800_Tm4sf1,728.7852055,0.580454545,0.197524167,2.938650763,0.003296443,0.033114103,,ENSMUSG00000027800
ENSMUSG00000073418_C4b,1930.623221,0.739197169,0.251686105,2.936980449,0.00331425,0.033223314,,ENSMUSG00000073418
ENSMUSG00000026536_Ifi211,171.4603303,0.922052188,0.314171956,2.934864719,0.003336931,0.033374766,,ENSMUSG00000026536
ENSMUSG00000047040_Prr15l,767.3146422,0.646401221,0.220868823,2.926629539,0.003426568,0.034122594,,ENSMUSG00000047040
ENSMUSG00000034607_Pof1b,194.0454285,3.656510295,1.251355336,2.922039958,0.003477469,0.034461289,,ENSMUSG00000034607
ENSMUSG00000071847_Apcdd1,195.5421115,0.804809128,0.275485362,2.921422479,0.00348437,0.034492443,,ENSMUSG00000071847
ENSMUSG00000020357_Flt4,443.4782652,0.731968541,0.25069662,2.919738372,0.003503254,0.034623383,,ENSMUSG00000020357
ENSMUSG00000001707_Eef1e1,193.2253192,0.607181685,0.208141259,2.91716158,0.003532327,0.0347826,,ENSMUSG00000001707
ENSMUSG00000039982_Dtx4,869.8088558,0.686159492,0.235345618,2.915539694,0.003550739,0.034942244,,ENSMUSG00000039982
ENSMUSG00000041577_Prelp,2406.313004,0.678819951,0.232869416,2.915024061,0.003556611,0.034981281,,ENSMUSG00000041577
ENSMUSG00000024087_Cyp1b1,437.4873487,0.70828492,0.243132135,2.913168683,0.003577813,0.035133356,,ENSMUSG00000024087
ENSMUSG00000020785_Camkk1,502.2058585,0.703479051,0.241671207,2.910893102,0.003603973,0.035258261,,ENSMUSG00000020785
ENSMUSG00000023827_Agpat4,1174.804007,0.61137618,0.21027398,2.907521804,0.003643049,0.035526987,,ENSMUSG00000023827
ENSMUSG00000008601_Rab25,1015.732389,0.593182856,0.20440648,2.901976765,0.00370816,0.036104427,,ENSMUSG00000008601
ENSMUSG00000042379_Esm1,1268.469543,0.825021808,0.284711455,2.897747158,0.003758535,0.036517445,,ENSMUSG00000042379
ENSMUSG00000029762_Akr1b8,211.0347953,0.584059286,0.20159142,2.897242775,0.003764583,0.036556869,,ENSMUSG00000029762
ENSMUSG00000002297_Dbf4,108.5373572,0.625817485,0.216027778,2.896930616,0.003768331,0.036573922,,ENSMUSG00000002297
ENSMUSG00000031877_Ces2g,284.5977193,1.364855049,0.471195578,2.896578647,0.003772561,0.036595632,,ENSMUSG00000031877
ENSMUSG00000060419_Rps16-ps2,262.6742335,0.611614955,0.211272959,2.894904099,0.003792744,0.036771993,,ENSMUSG00000060419
ENSMUSG00000037035_Inhbb,127.6050197,1.035586575,0.358054976,2.892255782,0.003824864,0.037024766,,ENSMUSG00000037035
ENSMUSG00000003271_Sult2b1,122.9354433,1.16625547,0.403709383,2.888849054,0.003866546,0.03729819,,ENSMUSG00000003271
ENSMUSG00000028843_Sh3bgrl3,1362.97383,0.592232895,0.205167507,2.886582299,0.003894509,0.037461951,,ENSMUSG00000028843
