"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"2810433D01Rik",6.288391835,0.539593073,0.75522206,0.714482669,0.474928769,0.754487152,"not"
"Adap2",118.9761658,-0.211821556,0.296556477,-0.714270541,0.475059905,0.754499657,"not"
"Wbp11",989.246506,0.07573622,0.106029007,0.714297173,0.47504344,0.754499657,"not"
"Pck2",446.8056453,0.097599678,0.136621756,0.714378741,0.474993014,0.754499657,"not"
"Acvr1",373.6292559,0.115890634,0.162291132,0.714090985,0.47517092,0.75453434,"not"
"Bag1",2196.086742,0.121715253,0.170460983,0.714035849,0.475205012,0.75453434,"not"
"Piwil4",7.88989735,0.443579847,0.621228904,0.714036073,0.475204874,0.75453434,"not"
"Stub1",1958.366491,-0.096631344,0.135375089,-0.713804477,0.475348091,0.754646077,"not"
"Gm2981",6.728390333,0.972909846,1.363021362,0.71378914,0.475357576,0.754646077,"not"
"Tbl1xr1",1324.244859,-0.122054047,0.171039319,-0.713602275,0.475473151,0.754698658,"not"
"Klhl36",123.3540274,-0.13778458,0.193101026,-0.713536243,0.475513994,0.754698658,"not"
"Gm49745",9.794769613,0.464584362,0.650997673,0.713649805,0.475443752,0.754698658,"not"
"Ccser1",220.2093551,-0.24174175,0.338889123,-0.713335818,0.475637978,0.754777059,"not"
"B3galnt1",121.7813624,-0.158876905,0.222727703,-0.713323501,0.475645598,0.754777059,"not"
"Pon1",238.3689211,0.317596246,0.445313432,0.713197095,0.475723804,0.754835929,"not"
"Chd1l",756.6585097,0.104040338,0.145925059,0.712971022,0.475863689,0.754992649,"not"
"Cdh3",23.45677825,-0.395786393,0.555274921,-0.712775561,0.475984651,0.755119321,"not"
"Mtcl1",667.236706,0.180578588,0.253495593,0.712353953,0.476245622,0.755415998,"not"
"Gm43759",29.81276595,0.351576272,0.493550851,0.712340525,0.476253935,0.755415998,"not"
"Gm11398",4.969338064,-1.808428216,2.539257035,-0.712187932,0.476348409,0.755500591,"not"
"Fnbp1",2326.859123,-0.124815586,0.175319529,-0.711932016,0.476506875,0.755686653,"not"
"Tomm70a",1428.355593,0.078141937,0.109802455,0.711659294,0.47667578,0.755709654,"not"
"Cnpy4",318.0557952,-0.133909617,0.188188228,-0.711572759,0.476729381,0.755709654,"not"
"Runx2",93.95970186,-0.307470901,0.432111064,-0.711555262,0.476740219,0.755709654,"not"
"Ndufs8",1340.747594,-0.196805547,0.276602672,-0.711509925,0.476768303,0.755709654,"not"
"Gm14443",65.9053417,-0.300783281,0.422658206,-0.711646613,0.476683635,0.755709654,"not"
"Gm6161",6.725259344,0.565280837,0.794402751,0.711579657,0.476725108,0.755709654,"not"
"Mtdh",2591.578385,-0.097596332,0.137345918,-0.710587783,0.477339716,0.755962846,"not"
"Ccl25",107.2207854,-0.298667231,0.420155389,-0.71084946,0.477177527,0.755962846,"not"
"R3hcc1l",440.6530328,0.117482488,0.165245369,0.710957826,0.47711037,0.755962846,"not"
"Polr1b",370.5819857,-0.122625731,0.172540094,-0.710708616,0.477264819,0.755962846,"not"
"Ttyh1",40.1146765,0.28157612,0.396223825,0.710649138,0.477301685,0.755962846,"not"
"Ooep",213.2833849,-0.165030255,0.232168434,-0.710821243,0.477195015,0.755962846,"not"
"Cmtm7",290.2065604,-0.133204547,0.187426216,-0.710703923,0.477267728,0.755962846,"not"
"Cd248",369.3440904,0.173404963,0.243912774,0.710930221,0.477127478,0.755962846,"not"
"Dda1",798.5119233,0.113181688,0.159176019,0.711047358,0.47705489,0.755962846,"not"
"Gm14261",13.43273391,0.600034871,0.844358286,0.710640118,0.477307276,0.755962846,"not"
"Zfp326",566.6762703,0.145158845,0.204299353,0.710520337,0.477381524,0.755963861,"not"
"Copb1",2310.511812,-0.085429673,0.120255148,-0.710403457,0.47745398,0.756013403,"not"
"Palm3",8.521984274,-0.477125502,0.671786773,-0.710233546,0.477559321,0.756115004,"not"
"Gm4202",23.88064096,-0.379664486,0.534669297,-0.710092179,0.477646976,0.756188587,"not"
"Tmem209",534.7923074,0.09850901,0.138777807,0.709832594,0.477807954,0.756282992,"not"
"Mtmr10",652.3296788,0.115385161,0.162552502,0.70983319,0.477807585,0.756282992,"not"
"Caskin1",165.4901072,0.251858804,0.354871298,0.709718724,0.477878579,0.756282992,"not"
"Rabggta",704.1651027,-0.102174451,0.143975816,-0.709663982,0.477912533,0.756282992,"not"
"Wdr60",404.1340869,0.144161458,0.203107306,0.709779778,0.477840711,0.756282992,"not"
"Rnf32",100.6233721,-0.200715773,0.28287151,-0.709565178,0.47797382,0.7563148,"not"
"Usp12",1169.066104,0.097736082,0.137763391,0.709448872,0.478045969,0.756363788,"not"
"Rtl8a",563.4263255,-0.105152101,0.148252186,-0.709278588,0.478151613,0.75646576,"not"
"Zfp873",102.6952865,0.155667762,0.21953161,0.709090423,0.478268366,0.756524768,"not"
"Gm8098",17.26535788,-0.366771022,0.517244998,-0.709085681,0.478271308,0.756524768,"not"
"Kcnn1",112.746313,0.357770471,0.504894209,0.708604822,0.478569743,0.756529507,"not"
"Cyp39a1",424.7456427,-0.103157648,0.145583601,-0.708580136,0.478585067,0.756529507,"not"
"Tas1r3",36.14713928,0.25020534,0.353073893,0.708648658,0.478542533,0.756529507,"not"
"Islr",678.0181801,-0.235491858,0.332150319,-0.708991816,0.478329556,0.756529507,"not"
"Ptger2",25.05032481,-0.285245144,0.402496402,-0.708689922,0.47851692,0.756529507,"not"
"Lonrf1",183.1483022,0.145988971,0.205973762,0.708774601,0.478464362,0.756529507,"not"
"Timm8a1",210.8676768,-0.159136052,0.224560649,-0.708655116,0.478538525,0.756529507,"not"
"Cyp26b1",140.7519432,-0.256434221,0.361914178,-0.708549808,0.478603893,0.756529507,"not"
"Zfp346",486.3068717,0.10214053,0.144177262,0.708437161,0.478673822,0.756574918,"not"
"Gpr180",394.5548911,0.125620464,0.177405946,0.708096134,0.47888556,0.756649075,"not"
"Nmd3",526.9170558,-0.146932239,0.207463559,-0.708231555,0.478801474,0.756649075,"not"
"Mau2",1238.100391,-0.105625133,0.149148197,-0.708189133,0.478827813,0.756649075,"not"
"Gm44878",12.22548104,0.450844617,0.636688605,0.708108507,0.478877877,0.756649075,"not"
"Fitm1",498.0922225,0.527228555,0.745082466,0.707611009,0.479186855,0.756865904,"not"
"Wrap73",179.4733003,-0.157686049,0.222864149,-0.707543361,0.479228877,0.756865904,"not"
"Mgat4b",1109.965112,-0.089709745,0.126784077,-0.707578963,0.479206761,0.756865904,"not"
"Hnrnpul1",2645.134097,0.08278052,0.116991767,0.707575607,0.479208845,0.756865904,"not"
"Gm15879",8.503108686,0.486564463,0.687649565,0.707576195,0.47920848,0.756865904,"not"
"Smad2",725.5236384,-0.127129858,0.179695638,-0.707473254,0.479272428,0.75686959,"not"
"Cpsf1",1147.144393,-0.096678761,0.136679935,-0.707336901,0.479357139,0.756896223,"not"
"Mccc1os",9.340309803,0.416299411,0.588564279,0.707313417,0.47937173,0.756896223,"not"
"Lrrc59",2280.494516,-0.099116998,0.140154358,-0.707198832,0.479442925,0.756943549,"not"
"Gm7598",14.41386015,0.370117944,0.523476162,0.707038776,0.479542381,0.757035484,"not"
"A3galt2",8.174176394,0.557879825,0.789287894,0.706814115,0.479682001,0.757125717,"not"
"Gm12905",21.80078296,0.380093465,0.537714262,0.706868857,0.479647979,0.757125717,"not"
"Ttpal",541.8015674,-0.142803672,0.202082157,-0.70666146,0.479776885,0.757174901,"not"
"Snw1",1266.322908,-0.074083232,0.104849851,-0.706564971,0.479836864,0.757174901,"not"
"Dnajc25",330.1999811,0.125032163,0.176948912,0.706600349,0.479814872,0.757174901,"not"
"Gopc",752.7903207,-0.092471019,0.130912363,-0.70635818,0.479965421,0.757282965,"not"
"2010007H06Rik",218.2622559,0.215833805,0.305631573,0.706189492,0.480070304,0.757282965,"not"
"Klk1b4",34.78506059,0.543854575,0.770105503,0.706207881,0.48005887,0.757282965,"not"
"F8a",195.3032875,-0.155899717,0.220734339,-0.70627759,0.480015527,0.757282965,"not"
"Nmi",404.5032181,-0.106237295,0.150489732,-0.70594381,0.480223082,0.757458894,"not"
"Ddah2",1060.53958,-0.134895081,0.19115469,-0.705685438,0.480383779,0.757602663,"not"
"Exosc8",364.528491,-0.123270038,0.174686444,-0.705664594,0.480396744,0.757602663,"not"
"Dmrt2",133.6849387,0.247393974,0.35064187,0.705546014,0.480470507,0.757653922,"not"
"Nfrkb",615.2116875,0.120891632,0.171369962,0.705442366,0.480534986,0.757690534,"not"
"Emsy",797.3755897,0.141941797,0.201318229,0.705061821,0.480771765,0.757868651,"not"
"Fam136a",386.6207578,-0.098925811,0.140301913,-0.705092386,0.480752745,0.757868651,"not"
"5430437J10Rik",7.301599269,-0.488195809,0.692301503,-0.705178028,0.480699453,0.757868651,"not"
"Dmrtc1a",45.65076127,0.369884002,0.524908279,0.704664065,0.481019319,0.758193799,"not"
"C130046K22Rik",7.267986945,0.43234864,0.613870001,0.704299997,0.481245968,0.758485942,"not"
"Uap1",1129.871251,-0.113155053,0.160737481,-0.703974284,0.481448789,0.75871766,"not"
"Gm16701",14.891499,-0.374223083,0.531633537,-0.703911731,0.481487745,0.75871766,"not"
"Pcdhgb8",11.17300665,0.519837176,0.738546861,0.703864851,0.481516942,0.75871766,"not"
"Dhrs7b",340.8212299,0.14623724,0.207827685,0.703646581,0.481652895,0.758833846,"not"
"Gm17092",9.829528556,-0.465818307,0.66203693,-0.70361378,0.481673327,0.758833846,"not"
"Micu2",992.4935076,0.092845223,0.131988053,0.70343657,0.481783723,0.758942653,"not"
"Inka1",68.97329578,0.201157111,0.285998316,0.703350684,0.481837232,0.758961837,"not"
"Snrpc",450.5305603,-0.163722686,0.232878722,-0.703038407,0.482031815,0.759203209,"not"
"Rassf8",572.2203976,-0.12630594,0.179683295,-0.702936467,0.482095344,0.759238147,"not"
"Hspa8",25273.7386,-0.111522714,0.158672159,-0.70284992,0.482149283,0.759257979,"not"
"Ppp5c",1327.2213,-0.098081653,0.139602454,-0.702578291,0.482318595,0.759416184,"not"
"Gabrb1",6.139372514,-0.500966276,0.713197045,-0.702423376,0.482415171,0.759416184,"not"
"Ddx49",531.6672118,-0.119465044,0.170061451,-0.702481622,0.482378859,0.759416184,"not"
"Commd1b",343.9274288,-0.208968214,0.297490095,-0.702437552,0.482406333,0.759416184,"not"
"Saal1",203.2491226,-0.145029309,0.206566354,-0.702095505,0.482619606,0.75967288,"not"
"Gm9967",17.51741643,0.308951391,0.440105082,0.701994599,0.482682532,0.759706808,"not"
"Tmem251",179.7229913,-0.141241049,0.201290615,-0.701677269,0.482880452,0.759822943,"not"
"Plekhd1",2206.632906,-0.151471241,0.21586014,-0.701710103,0.482859971,0.759822943,"not"
"Pcdhga3",71.37822337,0.199180127,0.283810609,0.701806488,0.482799852,0.759822943,"not"
"Agpat5",543.5621293,-0.112828309,0.16084369,-0.70147799,0.483004766,0.759953433,"not"
"Ap5z1",470.9012223,0.175330618,0.250026636,0.70124776,0.483148409,0.760114311,"not"
"Scp2",3223.057914,0.104862378,0.149567551,0.701103796,0.483238242,0.760125392,"not"
"Dynlt3",2112.902259,-0.068392931,0.09754434,-0.701147103,0.483211217,0.760125392,"not"
"Abhd16b",4.623049411,0.632119134,0.901915294,0.700863084,0.483388465,0.760229587,"not"
"Tcim",994.8943505,-0.084424462,0.120456459,-0.700871192,0.483383404,0.760229587,"not"
"Gm4211",18.42037213,0.33352063,0.475915059,0.700798648,0.483428682,0.760229587,"not"
"Grhl2",976.2202795,-0.122011532,0.174136313,-0.700666791,0.483510986,0.760293906,"not"
"Gfra2",138.8897259,-0.216764601,0.309440519,-0.700504905,0.483612043,0.760322599,"not"
"Exosc2",250.5493179,-0.115244879,0.164510247,-0.700533139,0.483594417,0.760322599,"not"
"Gm44997",8.661543739,0.402483502,0.574949598,0.70003267,0.483906902,0.760721038,"not"
"Ppp2r3d",399.1934471,-0.094617344,0.135180788,-0.699931887,0.483969842,0.760754855,"not"
"Nrip2",51.77833955,0.231930788,0.331694887,0.699229314,0.484408734,0.760778524,"not"
"Ciao1",875.1768245,0.13335132,0.190557765,0.699794731,0.484055506,0.760778524,"not"
"Crbn",617.7448838,0.088753905,0.126952615,0.699110491,0.484482983,0.760778524,"not"
"Rbm14",548.7831816,-0.120511531,0.172394361,-0.699045671,0.48452349,0.760778524,"not"
"Mia2",1902.372692,0.103333309,0.147723956,0.699502723,0.484237912,0.760778524,"not"
"Sec22b",1229.789017,-0.092891048,0.132840383,-0.699268148,0.484384469,0.760778524,"not"
"Sepsecs",374.8855041,0.103356938,0.147708147,0.699737559,0.484091216,0.760778524,"not"
"Alg14",376.9017377,0.111925112,0.160065159,0.69924719,0.484397564,0.760778524,"not"
"Sln",565.0318297,-0.602429814,0.861655455,-0.699153949,0.484455826,0.760778524,"not"
"Dennd1b",509.8115604,-0.104918831,0.150057043,-0.699192977,0.484431439,0.760778524,"not"
"Gm10698",264.5495002,0.26252154,0.375274793,0.699544825,0.48421161,0.760778524,"not"
"Gm43064",6.581116188,1.209481921,1.72968008,0.699251807,0.484394679,0.760778524,"not"
"Gm40617",8.340991405,0.569407248,0.814400777,0.699173261,0.484443759,0.760778524,"not"
"Brdt",62.42519462,0.190248962,0.272235781,0.698838931,0.484652696,0.760834938,"not"
"Ep400",1238.427531,-0.12845968,0.183806073,-0.69888703,0.484622634,0.760834938,"not"
"Zfp944",330.0732739,-0.112171392,0.160529251,-0.698759832,0.484702135,0.760834938,"not"
"Gm43196",16.24294019,0.344737369,0.493382019,0.698723011,0.484725151,0.760834938,"not"
"9430073C21Rik",76.91225651,0.556455449,0.796537479,0.698592927,0.484806465,0.760897532,"not"
"Tma16",224.2571259,0.134873708,0.193093843,0.698487872,0.48487214,0.76093557,"not"
"Pih1d2",52.17705916,0.323614382,0.463512545,0.698178259,0.485065721,0.761109274,"not"
"Man2c1os",19.11952879,0.339084161,0.485667171,0.698182173,0.485063273,0.761109274,"not"
"Dcbld1",147.6237178,-0.20389923,0.29207502,-0.698105677,0.485111108,0.761115454,"not"
"Elp1",645.6079016,0.1434407,0.20549275,0.698032899,0.48515662,0.761121829,"not"
"Pear1",580.5537587,-0.119875247,0.171824675,-0.697660259,0.485389687,0.761357378,"not"
"Afg3l1",880.5186561,0.092705868,0.132874246,0.69769629,0.485367149,0.761357378,"not"
"D430018E03Rik",13.68538281,-0.460196352,0.659731009,-0.697551495,0.485457725,0.761399061,"not"
"Cln3",385.8597684,-0.128712073,0.184573245,-0.69734957,0.485584053,0.761532152,"not"
"Pabpn1l",50.33147306,0.336031095,0.481929098,0.697262515,0.485638522,0.761552535,"not"
"Lef1",10.93099334,0.49495084,0.710202166,0.696915419,0.485855728,0.76164459,"not"
"Psmc4",1542.156507,-0.106868648,0.153317803,-0.697040044,0.485777734,0.76164459,"not"
"Spag1",446.3823028,0.14299706,0.205203901,0.696853517,0.48589447,0.76164459,"not"
"Ppp1r16b",189.0285549,-0.164570039,0.236189549,-0.696771047,0.485946088,0.76164459,"not"
"B230307C23Rik",57.24473801,-0.300500939,0.43126855,-0.696783799,0.485938106,0.76164459,"not"
"Eef1a1-ps1",18.78362213,-0.343595745,0.492960476,-0.697004653,0.485799882,0.76164459,"not"
"Zgpat",1370.80649,-0.099339771,0.142600824,-0.696628312,0.486035433,0.761711563,"not"
"Cracr2b",332.1128253,0.144799843,0.207875434,0.696570249,0.48607178,0.761711563,"not"
"Gm43029",9.450221528,-0.479900637,0.689106702,-0.696409766,0.486172249,0.761803994,"not"
"Gm18852",14.40785995,0.728334134,1.04610442,0.69623464,0.486281897,0.761910792,"not"
"Stk39",569.5073936,0.102084776,0.146660809,0.696060361,0.486391029,0.762016762,"not"
"Dna2",69.45297277,-0.198347842,0.285025054,-0.695896165,0.486493859,0.762112843,"not"
"Cdk3",12.13454808,-0.354448893,0.509422518,-0.69578568,0.486563058,0.762156226,"not"
"Raph1",1341.736722,0.148687681,0.213796817,0.695462554,0.48676547,0.762343227,"not"
"Gm43126",19.40281993,0.539716919,0.776010796,0.695501818,0.486740873,0.762343227,"not"
"Slc29a2",65.7434439,0.299739608,0.431044858,0.695379152,0.486817722,0.762360041,"not"
"Tymp",22.76783398,0.326060442,0.46896887,0.695270972,0.486885502,0.762401167,"not"
"Lims2",422.9260392,0.111625694,0.160594666,0.69507722,0.48700691,0.762500455,"not"
"Siglecf",6.824193919,-0.48119882,0.692401931,-0.694970361,0.487073876,0.762500455,"not"
"Zfp758",305.4618848,0.130323982,0.187577977,0.694772294,0.487198014,0.762500455,"not"
"Tmem67",196.3827669,0.154929429,0.222938858,0.694941338,0.487092065,0.762500455,"not"
"2810407A14Rik",7.161476265,0.472337426,0.679804121,0.694814008,0.487171868,0.762500455,"not"
"Gm13861",6.60799881,-0.739840065,1.064867061,-0.694772233,0.487198052,0.762500455,"not"
"Nicn1",503.6664478,0.111331463,0.160270431,0.694647556,0.487276202,0.762557772,"not"
"Gadd45g",461.9768006,0.215440042,0.310329222,0.694230601,0.487537605,0.762888943,"not"
"9030025P20Rik",353.1823034,-0.13066912,0.188235895,-0.694177485,0.487570911,0.762888943,"not"
"Apobec3",1937.258062,-0.145620406,0.209875741,-0.693841056,0.487781892,0.762959019,"not"
"Rnf38",1281.860376,-0.140444171,0.202411606,-0.693854339,0.487773561,0.762959019,"not"
"Rnf167",1336.406339,0.085541265,0.123283234,0.693859679,0.487770212,0.762959019,"not"
"U2af1l4",391.7488239,-0.117532562,0.169372516,-0.693929366,0.487726507,0.762959019,"not"
"Chka",1522.871768,-0.179581802,0.25898009,-0.693419337,0.488046431,0.763186288,"not"
"Tnfrsf4",21.5914483,-0.326458829,0.470846555,-0.693344415,0.488093436,0.763186288,"not"
"Gm9892",6.058011345,0.481330896,0.694197231,0.69336332,0.488081575,0.763186288,"not"
"Gm20403",4.461645117,1.171366343,1.689002695,0.693525443,0.487979864,0.763186288,"not"
"Dnaaf5",350.1235594,0.166885793,0.240753344,0.69318162,0.488195581,0.763216028,"not"
"Gm13778",5.410527306,0.545590212,0.787070713,0.693190845,0.488189793,0.763216028,"not"
"Plxna4",116.1407592,0.218615146,0.315442941,0.693041809,0.488283314,0.763235899,"not"
"Tiparp",523.3777986,0.102921499,0.14850968,0.693028893,0.48829142,0.763235899,"not"
"Mast3",457.6017478,0.119113762,0.172019487,0.692443419,0.488658907,0.763438203,"not"
"Mst1r",47.64670018,-0.290120407,0.418991646,-0.692425279,0.488670295,0.763438203,"not"
"Kat7",1166.947198,-0.086078963,0.124284443,-0.692596439,0.488562846,0.763438203,"not"
"B330016D10Rik",73.42483567,0.211029932,0.304721884,0.692532907,0.488602728,0.763438203,"not"
"Zfp341",75.71405902,0.18063363,0.260865274,0.692440307,0.488660861,0.763438203,"not"
"Hnrnpul2",3548.895461,-0.081098008,0.117079749,-0.692673225,0.488514646,0.763438203,"not"
"Bcl3",248.465311,-0.128772261,0.186000726,-0.692321283,0.488735587,0.763475252,"not"
"Hdac1",1602.309736,-0.094713007,0.136863622,-0.692024696,0.48892182,0.763701207,"not"
"Cryzl1",539.621822,0.122153753,0.17655774,0.691862917,0.48902342,0.763794936,"not"
"Gm49322",49.69681079,0.28526094,0.412499068,0.691543237,0.489224219,0.764043574,"not"
"Tm6sf2",10.57851987,0.396903941,0.574100768,0.691348911,0.489346302,0.764169244,"not"
"Sp3",1582.374905,-0.087733676,0.126916,-0.691273563,0.489393642,0.764176884,"not"
"Pex16",413.6114213,-0.10744892,0.155514797,-0.69092409,0.489613246,0.764176884,"not"
"Xylt1",228.8378062,0.220039973,0.318368164,0.691149424,0.489471644,0.764176884,"not"
"Secisbp2l",1381.077545,-0.117358221,0.16986834,-0.690877544,0.489642499,0.764176884,"not"
"Ccdc24",45.63837943,0.369545493,0.534850267,0.690932614,0.48960789,0.764176884,"not"
"Gm37780",5.974039193,-0.488371011,0.706689808,-0.691068423,0.489522543,0.764176884,"not"
"Gm48045",6.153638056,0.529728854,0.766518531,0.691084211,0.489512622,0.764176884,"not"
"5031425E22Rik",342.3386375,0.127735297,0.184908773,0.690801714,0.489690158,0.764186316,"not"
"Adat2",50.22479018,0.213628623,0.309365815,0.690537262,0.489856385,0.764209826,"not"
"Ctps2",738.5791987,-0.113660649,0.164619002,-0.690446715,0.489913308,0.764209826,"not"
"Zcchc3",207.9406262,0.204063494,0.295497723,0.69057552,0.489832336,0.764209826,"not"
"AU041133",106.9942657,0.155670532,0.225450576,0.690486293,0.489888427,0.764209826,"not"
"Gm44710",5.809642674,-0.510833041,0.739652236,-0.690639488,0.489792126,0.764209826,"not"
"Gne",1407.673543,-0.109465134,0.158568177,-0.690334819,0.489983656,0.764223173,"not"
"Gbp10",86.86776454,0.372146389,0.53910764,0.690300713,0.490005099,0.764223173,"not"
"Trnau1ap",441.1131914,-0.102065662,0.14790102,-0.690094371,0.490134843,0.764360604,"not"
"Gm6710",64.97095732,0.230635826,0.334407466,0.689685038,0.490392277,0.764697129,"not"
"Slc1a3",426.3859955,-0.243424706,0.353054252,-0.689482435,0.490519723,0.764813304,"not"
"Capza2",2793.139625,0.120036005,0.17413621,0.689322481,0.490620354,0.764813304,"not"
"Comtd1",69.75055236,-0.222908504,0.323380926,-0.689306284,0.490630544,0.764813304,"not"
"Hgfac",5.372626359,0.663058809,0.961928183,0.68930178,0.490633378,0.764813304,"not"
"Serf1",118.6269627,0.166445875,0.241498337,0.689221618,0.490683814,0.764827,"not"
"Spata5",202.5183261,-0.127604035,0.185182818,-0.689070599,0.490778841,0.764840388,"not"
"Sik3",821.0667255,0.103763524,0.150598127,0.689009392,0.490817357,0.764840388,"not"
"Tmem69",237.7261194,0.119298556,0.173139625,0.689030922,0.490803809,0.764840388,"not"
"Daxx",514.9817456,-0.106788484,0.155041712,-0.688772603,0.490966379,0.764965975,"not"
"Pex13",778.4385791,0.138935281,0.201740999,0.688681436,0.491023761,0.764965975,"not"
"Tbl1x",2057.293322,-0.110047119,0.159808759,-0.688617573,0.49106396,0.764965975,"not"
"Commd7",456.5190882,-0.120727546,0.175318964,-0.688616584,0.491064582,0.764965975,"not"
"Hpf1",339.5630532,-0.120770213,0.175416445,-0.688477146,0.491152357,0.76503781,"not"
"Npr2",2210.557643,0.12067642,0.17531017,0.688359493,0.491226425,0.765088282,"not"
"Hivep1",1254.098142,0.142713903,0.20738661,0.688153891,0.491355877,0.765224999,"not"
"Gm44899",8.046592785,-0.501957613,0.729514805,-0.688070494,0.49140839,0.765241881,"not"
"Snai2",57.27218151,0.175503092,0.255230311,0.687626369,0.491688099,0.765612529,"not"
"3110045C21Rik",8.078353388,-0.41110347,0.597918027,-0.687558247,0.491731009,0.765614424,"not"
"Inafm2",440.1741686,-0.10753132,0.156458324,-0.687284114,0.491903707,0.765818379,"not"
"Arhgef5",1457.249115,-0.126181727,0.183664369,-0.687023441,0.492067957,0.766009147,"not"
"Gm45605",45.32625736,0.238557056,0.347323811,0.686843369,0.492181437,0.766120855,"not"
"Zdhhc17",656.7588165,0.100828766,0.146892364,0.686412579,0.492452974,0.766478553,"not"
"Gga2",1171.723698,-0.094242927,0.137393197,-0.685935909,0.492753525,0.766751375,"not"
"Klf12",199.5744086,-0.200461219,0.292210673,-0.686016077,0.492702971,0.766751375,"not"
"Gm12184",107.6093618,-0.238043498,0.347029106,-0.685946779,0.49274667,0.766751375,"not"
"Zfr",1897.742517,-0.131284994,0.191499092,-0.685564574,0.492987727,0.766753911,"not"
"Cdc42bpg",1609.357067,-0.12936646,0.188659408,-0.685714328,0.49289327,0.766753911,"not"
"Tulp4",2290.627693,-0.080905951,0.118002285,-0.685630377,0.492946221,0.766753911,"not"
"Becn1",1729.180776,-0.072479454,0.105715023,-0.685611673,0.492958019,0.766753911,"not"
"Arid4b",1133.48587,-0.103091083,0.150380239,-0.685536103,0.493005687,0.766753911,"not"
"Cd8b1",17.88222926,-0.338686569,0.493957944,-0.685658714,0.492928347,0.766753911,"not"
"Adam12",83.65639994,-0.216572632,0.316005434,-0.685344644,0.493126466,0.766876804,"not"
"Kdelr3",307.398865,0.164321716,0.239926717,0.684882945,0.493417789,0.767203286,"not"
"Gm14276",8.428993064,-0.498318093,0.727599665,-0.684879498,0.493419965,0.767203286,"not"
"Vapa",1767.934837,0.099628666,0.145492254,0.684769553,0.493489351,0.767246207,"not"
"Lrrc61",335.2927473,0.211803983,0.309353965,0.684665486,0.493555033,0.767283362,"not"
"Sema4g",100.9808104,-0.188193464,0.274918881,-0.684541793,0.493633108,0.767284987,"not"
"Btnl7-ps",8.658477522,0.471860326,0.689318711,0.684531435,0.493639647,0.767284987,"not"
"Brip1os",927.6628652,-0.092205354,0.134715176,-0.684446672,0.493693153,0.767303205,"not"
"Nudt3",1279.958554,0.123514628,0.180492249,0.684320953,0.493772519,0.767361608,"not"
"Mst1",9.963950676,-0.891224296,1.302582911,-0.684197749,0.493850303,0.767395515,"not"
"Hsf5",4.940031529,-0.57975434,0.847403259,-0.684154013,0.493877918,0.767395515,"not"
"Gm12940",248.8440573,0.148015633,0.21637088,0.684082964,0.493922779,0.767400286,"not"
"Mfsd10",663.4420345,0.127794035,0.186850586,0.683937032,0.494014929,0.767413597,"not"
"Katnbl1",415.1694476,-0.120789471,0.176594461,-0.683993546,0.493979242,0.767413597,"not"
"E2f5",588.8631896,-0.122483949,0.179112732,-0.683837198,0.494077975,0.767439575,"not"
"Slc25a28",1813.296061,-0.077930425,0.113970328,-0.683778197,0.494115237,0.767439575,"not"
"Uqcc3",389.7981022,-0.115491931,0.168931304,-0.683662105,0.494188558,0.767488539,"not"
"R3hdm1",1042.502341,0.11754793,0.171972941,0.683525728,0.494274698,0.767557403,"not"
"Spag9",2959.063808,0.112713639,0.165004918,0.683092606,0.494548327,0.767586449,"not"
"Iws1",694.7357367,-0.111681517,0.163535751,-0.682918051,0.494658627,0.767586449,"not"
"Mff",1489.306445,0.075054521,0.109846048,0.683270106,0.494436181,0.767586449,"not"
"Luc7l2",5424.189533,0.10141981,0.148432262,0.683273358,0.494434126,0.767586449,"not"
"Ythdc2",299.6086979,-0.100122672,0.146587334,-0.683024035,0.494591655,0.767586449,"not"
"Ttc39b",1349.106669,-0.186649809,0.273230402,-0.683122403,0.4945295,0.767586449,"not"
"Shb",362.7459644,0.146313253,0.214248206,0.682914715,0.494660735,0.767586449,"not"
"Gm13807",25.68236748,-0.297665159,0.435897866,-0.682878219,0.494683798,0.767586449,"not"
"Fsbp",27.32247194,0.329826102,0.482802122,0.683149652,0.494512283,0.767586449,"not"
"Gm43823",11.05147866,0.435060726,0.63713932,0.682834526,0.49471141,0.767586449,"not"
"Ccnl1",1488.767901,0.155362611,0.22755554,0.682745894,0.494767424,0.767608501,"not"
"Onecut2",13.93389052,0.421080798,0.616847427,0.682633629,0.494838379,0.767653725,"not"
"Ogg1",128.3628328,-0.175311435,0.256842324,-0.682564432,0.494882116,0.767656723,"not"
"C130083M11Rik",15.40217279,0.40237108,0.589575149,0.682476322,0.49493781,0.767678267,"not"
"Mcoln2",111.2964557,0.229833296,0.337004333,0.681989143,0.495245816,0.7678396,"not"
"Atad5",79.91545909,-0.138232368,0.202724599,-0.681872689,0.495319456,0.7678396,"not"
"Adprm",380.4666736,0.111347943,0.163247861,0.682079028,0.495188981,0.7678396,"not"
"Sncg",225.5936836,-0.180826271,0.26509968,-0.682106711,0.495171478,0.7678396,"not"
"Cemip2",485.9204539,0.135041446,0.198051877,0.681848858,0.495334526,0.7678396,"not"
"Rc3h1",1229.702833,-0.11480095,0.168347676,-0.681927739,0.495284644,0.7678396,"not"
"Mapk6",983.2130613,-0.121897521,0.178707182,-0.682107566,0.495170937,0.7678396,"not"
"Fut4",75.89961061,0.179665406,0.263636924,0.681488023,0.495562743,0.768040996,"not"
