,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RAB6B,437.7707299,-4.760212864,0.211591411,-22.49719324,4.42E-112,8.12E-108
BCAT1,970.2375277,4.822886335,0.250800375,19.22998054,2.08E-82,1.91E-78
GPNMB,1541.975088,4.221666026,0.252242608,16.73653023,7.10E-63,4.35E-59
STRA6,159.458803,3.989562059,0.258113206,15.45663671,6.81E-54,3.12E-50
LAMA3,1108.182296,2.834881913,0.199722682,14.19409098,9.97E-46,3.66E-42
PINK1,3069.779044,-3.189984354,0.227301749,-14.03413904,9.64E-45,2.95E-41
GM49980,345.0092578,3.131371259,0.229609688,13.63780109,2.39E-42,6.26E-39
RBP1,3358.617847,2.06661083,0.153417376,13.47051347,2.33E-41,5.35E-38
SOX17,484.8808838,3.023025673,0.236329915,12.79154891,1.83E-37,3.73E-34
HS3ST4,131.26263,8.29253498,0.671702752,12.34554265,5.15E-35,9.45E-32
SERPINB6B,348.3603167,2.767619656,0.227825082,12.14800248,5.88E-34,9.81E-31
ZFP990,123.4643213,8.394962771,0.712667432,11.77963576,4.97E-32,7.61E-29
GM3164,73.22200793,6.779471744,0.582118729,11.64620103,2.40E-31,3.39E-28
CCDC74A,529.2525682,-1.777931127,0.155269628,-11.4506047,2.34E-30,3.06E-27
CLEC4N,140.5235777,4.242848126,0.378938713,11.19666052,4.23E-29,5.18E-26
KHK,804.5871074,2.230313837,0.200216918,11.13948738,8.06E-29,9.25E-26
SLC1A1,1823.036733,2.771630462,0.24957488,11.10540639,1.18E-28,1.28E-25
PLOD1,2030.269041,1.810490297,0.167621337,10.801073,3.40E-27,3.47E-24
GM3512,50.20664442,3.804663742,0.352413315,10.79602722,3.59E-27,3.47E-24
ZFP982,44.0457758,-4.945958024,0.471656239,-10.48636192,9.98E-26,9.16E-23
GPR179,140.0418139,-3.01880529,0.28891982,-10.44859191,1.49E-25,1.30E-22
MMP12,2009.392196,3.938987415,0.383314597,10.27612161,9.03E-25,7.54E-22
SLC26A10,4726.504643,-2.093819892,0.204154025,-10.25607943,1.11E-24,8.87E-22
GM3252,52.03147199,5.509139548,0.554068845,9.943059603,2.70E-23,2.07E-20
AU018091,43.02270008,6.00234687,0.606617113,9.894786577,4.39E-23,3.22E-20
GM3488,82.39295257,4.875197383,0.49354783,9.877862054,5.19E-23,3.67E-20
