"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ar",510.8673367,-1.143466518,0.164815663,-6.937851021,3.98e-12,5.9e-10
"Il1f9",57.00465596,7.559343585,1.09146659,6.925858888,4.33e-12,6.37e-10
"Tmprss2",3269.578357,1.216177853,0.175812509,6.917470551,4.6e-12,6.7e-10
"Ccn5",152.4093844,2.709448521,0.392317844,6.906258688,4.98e-12,7.14e-10
"AU021092",5572.316543,1.319903011,0.19109253,6.907140797,4.95e-12,7.14e-10
"H2-D1",13982.06571,0.889210391,0.128962582,6.895103832,5.38e-12,7.66e-10
"Sla",780.3538423,1.834087445,0.266250755,6.888571812,5.64e-12,7.96e-10
"Ptprn2",83.12730543,-3.120721427,0.453606869,-6.879793136,5.99e-12,8.4e-10
"Pctp",498.9343288,1.026686692,0.149493013,6.867790467,6.52e-12,9.07e-10
"Gm266",54.92416388,4.222667179,0.616048259,6.854442197,7.16e-12,9.8e-10
"St3gal1",1719.964107,1.484093079,0.216544849,6.853513645,7.21e-12,9.8e-10
"Tgm3",1362.769442,9.195128373,1.341433466,6.854703275,7.15e-12,9.8e-10
"Serpinb10",61.08589624,4.054719981,0.59371546,6.829399359,8.53e-12,1.15e-09
"Ptgdr",97.76723911,5.011145139,0.736494998,6.804045046,1.02e-11,1.36e-09
"2610042L04Rik",22.19125257,6.59523579,0.97160557,6.787976516,1.14e-11,1.51e-09
"Trarg1",307.0388819,-1.603462704,0.236281771,-6.786231116,1.15e-11,1.52e-09
"Il7r",203.9406679,1.731979921,0.256357991,6.756098819,1.42e-11,1.85e-09
"Emb",2556.600159,0.714792789,0.105808194,6.755552313,1.42e-11,1.85e-09
"Tcerg1l",29.21992216,-3.32897044,0.493129382,-6.750703902,1.47e-11,1.9e-09
"Timp1",134.284623,2.458945481,0.364372911,6.748431084,1.49e-11,1.92e-09
"Cytip",262.5002997,1.588005936,0.235398935,6.746020049,1.52e-11,1.94e-09
"Stra6l",23.35237557,3.859405302,0.574626793,6.716368521,1.86e-11,2.36e-09
"Gm3468",49.23068993,2.708114439,0.404573314,6.693754492,2.18e-11,2.74e-09
"Cdkn1a",1696.661955,1.192747102,0.178611474,6.677886227,2.42e-11,3.03e-09
"Cpxm2",760.9823802,1.191539202,0.178886668,6.66086084,2.72e-11,3.38e-09
"Pak3",302.1845661,2.101529524,0.316107503,6.648148194,2.97e-11,3.66e-09
"Plac8",288.501862,1.333148994,0.200955766,6.634042017,3.27e-11,4e-09
"Lama2",782.624472,-0.968264852,0.145983128,-6.632717514,3.3e-11,4.01e-09
"Krt8",8738.71883,1.321851884,0.200044501,6.607789148,3.9e-11,4.71e-09
"Man1c1",600.68964,-0.78489869,0.11901524,-6.594942701,4.25e-11,5.11e-09
"Lor",1321.230624,9.167122571,1.391265485,6.5890534,4.43e-11,5.28e-09
"Mdga1",206.3293897,-1.427706937,0.216737035,-6.587277246,4.48e-11,5.31e-09
"Resp18",127.2259026,-3.150394831,0.479211439,-6.574122763,4.89e-11,5.76e-09
"Hexa",4981.740374,1.072752091,0.163582115,6.5578813,5.46e-11,6.38e-09
"Syt7",190.5767961,-2.09477133,0.320259552,-6.540855115,6.12e-11,7.11e-09
"Lhx2",39.21160811,4.79097742,0.735399142,6.514798763,7.28e-11,8.39e-09
"Cd300lf",34.66081434,3.476082283,0.533621011,6.514140586,7.31e-11,8.39e-09
"Cd84",245.9404608,1.70115062,0.261544791,6.504242016,7.81e-11,8.91e-09
"Slc15a3",173.57588,1.623210902,0.249805819,6.497890682,8.15e-11,9.23e-09
